run,radius,high_beta_count,slope_phi_energy_per_beta,slope_ci95_low,slope_ci95_high,slope_significant
30_dataset,0.46,6,0.0017248698674204156,0.0004977036219378946,0.002952036112902937,yes
30_dataset,0.47,6,0.0017125629444489962,0.0004813069651372717,0.0029438189237607207,yes
30_dataset,0.48,6,0.001697583929738918,0.0004589442865969545,0.0029362235728808816,yes
30_dataset,0.49,6,0.0016788971144849384,0.0004335948717244305,0.0029241993572454465,yes
30_dataset,0.5,6,0.0016672032554054354,0.0004165602011611763,0.0029178463096496948,yes
30_dataset,0.51,6,0.0016532387079390826,0.00039390910579273244,0.002912568310085433,yes
30_dataset,0.52,6,0.0016390789537752994,0.00038027152547073523,0.0028978863820798635,yes
30_dataset,0.53,6,0.0016289529362870712,0.0003606952777757786,0.002897210594798364,yes
30_dataset,0.54,6,0.0016144123081248414,0.0003488841539224497,0.002879940462327233,yes
30_dataset,0.55,6,0.0016013235136016436,0.0003242753656927933,0.002878371661510494,yes
30_dataset,0.56,6,0.001587842010004719,0.0003070033547291507,0.002868680665280287,yes
30_dataset,0.57,6,0.0015739033710957294,0.00028811890656420215,0.0028596878356272567,yes
30_dataset,0.58,6,0.0015637730349439718,0.0002737670638044763,0.0028537790060834674,yes
30_dataset,0.59,6,0.0015516291224590055,0.0002525827753832046,0.0028506754695348064,yes
30_dataset,0.6,6,0.0015348334488356858,0.00022707888731994335,0.002842588010351428,yes
30_dataset,0.61,6,0.0015280053920783672,0.00021666394030000558,0.002839346843856729,yes
30_dataset,0.62,6,0.00150905193369086,0.00019473109977483256,0.0028233727676068875,yes
30_dataset,0.63,6,0.001493236332407132,0.00017120107303536178,0.002815271591778902,yes
30_dataset,0.64,6,0.0014873141830638256,0.000161357054171248,0.0028132713119564034,yes
30_dataset,0.65,6,0.0014773847002048628,0.00014714767668159534,0.00280762172372813,yes
30_dataset,0.66,6,0.0014632315936038782,0.0001361336835651874,0.002790329503642569,yes
30_dataset,0.67,6,0.0014591521882832553,0.00011623205726776385,0.002802072319298747,yes
30_dataset,0.68,6,0.0014415109549107193,0.0001002702438952952,0.002782751665926143,yes
30_dataset,0.69,6,0.0014377460661198274,9.512644110444492e-05,0.0027803656911352097,yes
30_dataset,0.7,6,0.0014290835699224268,7.713774356127821e-05,0.0027810293962835754,yes
30_dataset,0.71,6,0.001411100723312968,5.261194018546284e-05,0.002769589506440473,yes
30_dataset,0.72,6,0.001408048839380128,4.713792471938293e-05,0.002768959754040873,yes
30_dataset,0.73,6,0.0014026624392071386,3.733517390873127e-05,0.002767989704505546,yes
30_dataset,0.74,6,0.0013800533632397265,6.5090815518740065e-06,0.002753597644927579,yes
30_dataset,0.75,6,0.001375586946531032,-5.39123733925154e-06,0.0027565651304013155,no
30_dataset,0.76,6,0.001377699425018006,-4.961387160367075e-06,0.002760360237196379,no
30_dataset,0.77,6,0.0013683551334822666,-1.1203119419489049e-05,0.0027479133863840223,no
30_dataset,0.78,6,0.0013649609214001182,-2.6486794180817508e-05,0.002756408636981054,no
30_dataset,0.79,6,0.0013522701208383316,-3.9948948687141585e-05,0.0027444891903638047,no
30_dataset,0.8,6,0.001342152750700777,-5.5829389139903755e-05,0.002740134890541458,no
30_dataset,0.81,6,0.0013316757770471057,-8.723067856681579e-05,0.0027505822326610273,no
30_dataset,0.82,6,0.001327914735767961,-6.556166169135774e-05,0.00272139113322728,no
30_dataset,0.83,6,0.0013209780739363857,-8.734633374491503e-05,0.002729302481617686,no
30_dataset,0.84,6,0.0013093858430811753,-0.00011093374270557664,0.002729705428867927,no
30_dataset,0.85,6,0.0013045294725626943,-0.00011383924270439143,0.00272289818782978,no
30_dataset,0.86,6,0.0013042530904328786,-0.00010667957013248239,0.0027151857509982395,no
30_dataset,0.87,6,0.0013024674555959857,-0.00012196758997779357,0.002726902501169765,no
30_dataset,0.88,6,0.0012874877501364954,-0.00014443686706257924,0.00271941236733557,no
