source,case_id,case_label,complexity_axis,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sem,d_phi_energy_raw_dd_mean,d_phi_energy_raw_dd_sem,d2_phi_energy_raw_dd2_mean,d2_phi_energy_raw_dd2_sem,positive_curvature_mean
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,1.0,90,-0.1572489706247645,0.00024261842066880657,-0.02948113331028504,0.006292766305990367,-0.27825759978639286,0.11443896861852497,0.3139868588743558
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.1,90,-0.023939246729763847,0.0003724416403091028,-0.619562480980589,0.00800974197021407,-0.77583061325235,0.14562146408932,0.2223076574183324
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.15,90,-0.05491737077879329,0.0006439923188847031,-0.6583540116432065,0.007295420710314472,-0.40853866682359175,0.1068563487982832,0.23515910156642275
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.2,90,-0.0897746478940845,0.0009877703421770888,-0.6604163476629481,0.0071818624760374376,1.5209810042877427,0.13011758624423306,1.5888426354134138
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.25,90,-0.12095900554508811,0.0010479466270748748,-0.5062559112144324,0.0078865163048018,3.5560530614788726,0.1308865141626662,3.5560530614788726
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.3,90,-0.14040023901552773,0.000944012697653137,-0.304811041515061,0.007697533392845295,3.6110784298510574,0.13548870790902326,3.6110784298510574
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.35,90,-0.1514401096965942,0.0008104377403400281,-0.14514806822932672,0.008511337321364436,2.539386705201007,0.12542180021304974,2.542370030301372
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.4,90,-0.15491504583846036,0.0006715160481647239,-0.050872370994960295,0.00871346443659291,1.2994834356556926,0.12346310393083193,1.3865301173121478
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.45,90,-0.15652734679609026,0.0005651762458719371,-0.015199724663757349,0.006751647644940539,0.45459845026682033,0.11849716212320165,0.7136339742600813
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.5,90,-0.15643501830483608,0.00046350127255531323,-0.005412525968278278,0.004967115810242206,0.12509682026537083,0.10092025445525682,0.42879962496748486
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.55,90,-0.15706859939291806,0.00039094150265139995,-0.002690042637220268,0.004917126415683358,0.13078435575002445,0.0726721860183621,0.34064128881417344
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.6,90,-0.15670402256855812,0.0003344443016235962,0.007665909606724145,0.004027101004243031,0.0471745015459368,0.06841861813838658,0.28311911119134886
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.65,90,-0.15630200843224568,0.0003120829688327321,0.0020274075173733756,0.003432829096364718,-0.18799099180266737,0.06215804911170421,0.1444480128855402
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.7,90,-0.15650128181682074,0.0003241342035564273,-0.011133189573542573,0.003119458080472456,-0.07812522273273143,0.06233582617562142,0.19615390741220023
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.75,90,-0.15741532738959996,0.00023870054272240727,-0.005785114755899724,0.003608175180399447,0.05949761610653209,0.05018437955570681,0.22690793474415918
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.8,90,-0.1570797932924107,0.00023588364945811564,-0.005183427962889358,0.0028511347377086515,-0.05932626438006401,0.053739130637748767,0.18015960211496265
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.85,90,-0.15793367018588886,0.00023515366689146308,-0.011717741193906107,0.0026957745210208404,-0.03151446867178712,0.04659705924710572,0.16353238702696546
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.9,90,-0.15825156741180132,0.00022000986841254818,-0.008334874830068048,0.002597795091829474,0.030728052231192748,0.04700202963739768,0.19648979595018237
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,0.95,90,-0.15876715766889565,0.00021561381536343123,-0.008644935970786824,0.0028915393496409016,0.013568080303798418,0.07077537615500891,0.2598553828024009
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,1.0,90,-0.15911606100888007,0.00020430543423319514,-0.0069780667996882035,0.00535174590679353,0.03333738342197237,0.08888311704568982,0.3487178698912193
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.1,90,-0.004414630139509517,9.81709491323912e-05,-0.0786299533069554,0.0008681727286741117,-0.0657882486860868,0.013364896117514707,0.02300957273384964
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.15,90,-0.008346127804857285,0.0001325602550693186,-0.08191936574125973,0.0007429763015214615,-0.060235878379531115,0.010976681916542493,0.018635854618911943
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.2,90,-0.012606566713635489,0.0001564433683838667,-0.0846535411449085,0.0009009339467781281,0.017323439058677715,0.013102096538310706,0.05909653061612737
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.25,90,-0.016811481919348135,0.00018652835577650785,-0.08018702183539198,0.000973497788378011,0.1314870275435291,0.01882106934124405,0.15201512549524906
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.3,90,-0.020625268897174684,0.00018088310439925114,-0.0715048383905556,0.0014115527982655023,0.10654388543955914,0.022656076205959844,0.1500119343697261
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.35,90,-0.023961965758403696,0.00021103646555628632,-0.06953263329143607,0.0016044229641450356,0.05834642573744654,0.028751069304824926,0.1378815552401924
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.4,90,-0.02757853222631829,0.00020569007956212478,-0.06567019581681094,0.001965188784253498,0.14633255681688767,0.03266662139744055,0.20685519440960706
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.45,90,-0.03052898534008479,0.0002204482089244815,-0.0548993776097473,0.0020285956554412354,0.10317680591680203,0.03591832546329407,0.19087525992555168
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.5,90,-0.03306846998729302,0.000204084288789494,-0.05535251522513074,0.002265425607812115,-0.01163626843015004,0.038731879845613416,0.1417215205631568
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.55,90,-0.03606423686259787,0.00023191280440584483,-0.0560630044527623,0.0023330140097490943,0.041909977681350956,0.04186784251174393,0.18405811093918878
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.6,90,-0.03867477043256924,0.0001968146920211568,-0.051161517456995646,0.0025581776004191324,0.10103594626792382,0.04144251374223965,0.20436918145263683
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.65,90,-0.04118038860829744,0.00023523060892885234,-0.04595940982596993,0.002607373480577699,0.05744548610988303,0.0466229139278793,0.20178518367552914
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.7,90,-0.043270711415166224,0.0002737856256771305,-0.04541696884600732,0.0027779096383752345,-0.014444286122202232,0.05119490261575255,0.1826228003671562
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.75,90,-0.045722085492898176,0.00025249137679864424,-0.04740383843819016,0.003113297321125208,0.06645203383991591,0.05603342831984983,0.25373469027038337
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.8,90,-0.048011095258985254,0.0002765680111350825,-0.038771765462015724,0.0037595019806205103,0.024575459273298777,0.0570995976359268,0.22192410413478061
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.85,90,-0.04959926203909974,0.0003192785627401731,-0.04494629251086024,0.003463612971655398,-0.04713370092061929,0.07267720914912677,0.24266416052044978
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.9,90,-0.05250572451007129,0.0002812246089433619,-0.04348513555407764,0.004196766219380069,0.09675817943446183,0.0610372146850835,0.2908181852986633
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.95,90,-0.0539477755945075,0.00032043436404760123,-0.03527047456741407,0.0037369751584914843,0.0178520810797363,0.10944433498335379,0.43261267566798917
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1.0,90,-0.0560327719668127,0.00034607255151194457,-0.041699927446104054,0.008336001997690062,-0.1285890575737995,0.1442724726777871,0.517633711704276
