radius,dataset_count,dphi_energy_dr_mean,dphi_energy_dr_sd,mean_refs_per_dataset,min_refs_per_dataset,max_refs_per_dataset,dphi_energy_dr_sem,dphi_energy_dr_ci95_low,dphi_energy_dr_ci95_high
0.44,90,-0.0038244231356020916,0.0004979428830924403,30.0,30,30,5.2487788508101966e-05,-0.0039272992010779715,-0.0037215470701262117
0.45,90,-0.003763385040770706,0.0004890932639778206,30.0,30,30,5.1554956747196606e-05,-0.0038644327559952114,-0.0036623373255462006
0.46,90,-0.003704024530406897,0.00048193342438115227,30.0,30,30,5.080024338696549e-05,-0.0038035930074453495,-0.0036044560533684445
0.47,90,-0.003645938455470384,0.00047329866251110406,30.0,30,30,4.989005956821458e-05,-0.0037437229722240848,-0.0035481539387166834
0.48,90,-0.003588883351926311,0.00046380385179978315,30.0,30,30,4.888921864155e-05,-0.003684706220463749,-0.0034930604833888733
0.49,90,-0.0035355064476132827,0.0004582226954667255,30.0,30,30,4.830091310855215e-05,-0.0036301762373060448,-0.0034408366579205206
0.5,90,-0.003482091424337949,0.0004492457757305474,30.0,30,30,4.7354662683924134e-05,-0.0035749065631984402,-0.0033892762854774577
0.51,90,-0.003430899639520915,0.0004426839069446642,30.0,30,30,4.666298098157231e-05,-0.0035223590822447966,-0.003339440196797033
0.52,90,-0.003380403753959438,0.0004358917155405726,30.0,30,30,4.594702114354742e-05,-0.003470459915400791,-0.003290347592518085
0.53,90,-0.0033316929917225502,0.00042781839865216684,30.0,30,30,4.5096018822225235e-05,-0.003420081188614112,-0.0032433047948309886
0.54,90,-0.003283817555482172,0.00042144029982918847,30.0,30,30,4.4423708174816875e-05,-0.003370888023504813,-0.003196747087459531
0.55,90,-0.003237093520395145,0.00041233229673379396,30.0,30,30,4.346364035090653e-05,-0.0033222822554829215,-0.0031519047853073683
0.56,90,-0.003191544089221001,0.0004065402258416727,30.0,30,30,4.2853102471297646e-05,-0.0032755361700647443,-0.0031075520083772576
0.57,90,-0.0031481726545615936,0.0004019275753404458,30.0,30,30,4.23668864168245e-05,-0.0032312117519385695,-0.0030651335571846177
0.58,90,-0.0031055171509156597,0.00039319718312506624,30.0,30,30,4.144662227458441e-05,-0.003186752530573845,-0.0030242817712574743
0.59,90,-0.0030632435680307477,0.0003887018926488067,30.0,30,30,4.0972777052949634e-05,-0.003143550211054529,-0.0029829369250069663
0.6,90,-0.003023176264461158,0.0003814062607968071,30.0,30,30,4.020374993220326e-05,-0.0031019756143282765,-0.0029443769145940397
0.61,90,-0.002984404609039708,0.0003756325734936398,30.0,30,30,3.959514985301647e-05,-0.00306201110275162,-0.002906798115327796
0.62,90,-0.0029445808805340233,0.0003710292387639039,30.0,30,30,3.91099157670791e-05,-0.0030212363154374982,-0.0028679254456305484
0.63,90,-0.0029073153229196586,0.00036295364923414453,30.0,30,30,3.825867388832418e-05,-0.002982302323740774,-0.0028323283220985434
0.64,90,-0.0028709088727252186,0.000358033796552474,30.0,30,30,3.774007588077197e-05,-0.0029448794214515317,-0.0027969383239989055
0.65,90,-0.0028329985134793205,0.00035108250877437426,30.0,30,30,3.7007345812435755e-05,-0.0029055329112716946,-0.0027604641156869464
0.66,90,-0.002798567442075419,0.0003460634231830475,30.0,30,30,3.647828773777157e-05,-0.002870064886041451,-0.0027270699981093867
0.67,90,-0.0027640416959311565,0.0003403524223973591,30.0,30,30,3.587629539771202e-05,-0.002834359234910672,-0.002693724156951641
0.68,90,-0.0027315873722357767,0.00033561412607051284,30.0,30,30,3.537683511032389e-05,-0.0028009259690520115,-0.002662248775419542
0.69,90,-0.0026991554009627356,0.0003312061058599799,30.0,30,30,3.491218898241259e-05,-0.0027675832913682643,-0.002630727510557207
0.7,90,-0.0026667582589735097,0.0003244566041020926,30.0,30,30,3.4200729028204786e-05,-0.002733791687868791,-0.0025997248300782282
0.71,90,-0.002635253924658039,0.00032070677012116186,30.0,30,30,3.38054618206302e-05,-0.0027015126298264745,-0.0025689952194896037
0.72,90,-0.0026067777285329143,0.00031734470058905774,30.0,30,30,3.3451068574853345e-05,-0.002672341822939627,-0.0025412136341262017
0.73,90,-0.002578150273129742,0.00031025066707040323,30.0,30,30,3.270329178430245e-05,-0.002642248725026975,-0.002514051821232509
0.74,90,-0.0025495955266901325,0.0003049501280841363,30.0,30,30,3.2144565916865e-05,-0.0026125988758871877,-0.0024865921774930772
0.75,90,-0.0025207214508811554,0.0003002947635185138,30.0,30,30,3.165384740467142e-05,-0.0025827629917943113,-0.0024586799099679995
0.76,90,-0.0024917909942703794,0.000295332933596441,30.0,30,30,3.113082460746723e-05,-0.002552807410501015,-0.002430774578039744
0.77,90,-0.0024671477058959236,0.00029078675768670463,30.0,30,30,3.065161559018206e-05,-0.00252722487245268,-0.002407070539339167
0.78,90,-0.0024397726873854964,0.0002880568168115634,30.0,30,30,3.0363854555414072e-05,-0.002499285842314108,-0.0023802595324568846
0.79,90,-0.0024150010746677767,0.0002811977836200223,30.0,30,30,2.964084897434861e-05,-0.0024730971386575,-0.0023569050106780533
0.8,90,-0.0023907938554706427,0.00027775661825057415,30.0,30,30,2.927811829525691e-05,-0.002448178967329346,-0.0023334087436119393
0.81,90,-0.0023659789924906976,0.0002740373125035316,30.0,30,30,2.8886069046083295e-05,-0.0024225956878210207,-0.0023093622971603746
0.82,90,-0.0023417237714642544,0.0002680399673948596,30.0,30,30,2.8253893364167513e-05,-0.0023971014024580226,-0.0022863461404704862
0.83,90,-0.002319050131348264,0.0002631590057564787,30.0,30,30,2.7739394832527817e-05,-0.0023734193452200182,-0.0022646809174765095
