N,r,branch,phi_emp,phi_theory,finiteN_error
160,1.1,full_mixed_maxQ_min_s_eta,1.7996944069619758,1.823660893417061,-0.023966486455085256
160,1.15,full_mixed_maxQ_min_s_eta,1.818927771389748,1.844228943711236,-0.025301172321487986
160,1.2,full_mixed_maxQ_min_s_eta,1.8342697484939237,1.86077026860544,-0.026500520111516268
160,1.25,full_mixed_maxQ_min_s_eta,1.8459214948744869,1.8735273222615216,-0.027605827387034765
160,1.3,full_mixed_maxQ_min_s_eta,1.853977913843317,1.882683105160834,-0.02870519131751692
160,1.35,full_mixed_maxQ_min_s_eta,1.8584218674622304,1.888373322114094,-0.02995145465186355
160,1.4,full_mixed_maxQ_min_s_eta,1.8595224642282848,1.8906914987241352,-0.0311690344958504
160,1.45,full_mixed_maxQ_min_s_eta,1.857255982658909,1.88969151884924,-0.032435536190331016
160,1.5,full_mixed_maxQ_min_s_eta,1.8516494599741748,1.885390341273668,-0.03374088129949304
160,1.55,full_mixed_maxQ_min_s_eta,1.8427760462287477,1.877768098213897,-0.03499205198514921
160,1.6,full_mixed_maxQ_min_s_eta,1.8307805881926424,1.866766418357806,-0.03598583016516366
160,1.65,full_mixed_maxQ_min_s_eta,1.8155923966969585,1.852299809151528,-0.03670741245456943
160,1.7,full_mixed_maxQ_min_s_eta,1.7972861955240218,1.8358110964419807,-0.038524900917958904
160,1.75,full_mixed_maxQ_min_s_eta,1.7759088855132497,1.8159682612992825,-0.0400593757860328
160,1.8,full_mixed_maxQ_min_s_eta,1.7515441704672634,1.7926012051781723,-0.041057034710908935
160,1.85,full_mixed_maxQ_min_s_eta,1.724139620113392,1.7659742351979282,-0.04183461508453612
160,1.9,full_mixed_maxQ_min_s_eta,1.6937633327477233,1.7376071785018667,-0.04384384575414346
160,1.95,full_mixed_maxQ_min_s_eta,1.6604323986752347,1.7055570691978994,-0.04512467052266467
160,2.0,full_mixed_maxQ_min_s_eta,1.6242284128047657,1.6696231460710838,-0.045394733266318044
160,2.05,full_mixed_maxQ_min_s_eta,1.585110737530915,1.632835786853623,-0.047725049322707935
160,2.1,full_mixed_maxQ_min_s_eta,1.5430671934053442,1.5921087918453107,-0.04904159843996658
160,2.15,full_mixed_maxQ_min_s_eta,1.4982286465323025,1.5475669802534635,-0.04933833372116103
160,2.2,full_mixed_maxQ_min_s_eta,1.4505048665577616,1.5023236300686291,-0.05181876351086756
320,0.15,boundary_mixed_eta0,0.0,0.0,0.0
320,0.2,boundary_mixed_eta0,0.2862473183215338,0.2873960809559721,-0.001148762634438305
320,0.25,boundary_mixed_eta0,0.5078329551966796,0.5098688569027066,-0.0020359017060269657
320,0.3,boundary_mixed_eta0,0.6882660184818358,0.6911623912089282,-0.002896372727092422
320,0.35,boundary_mixed_eta0,0.8400317509958182,0.8436756312417768,-0.0036438802459586306
320,0.4,boundary_mixed_eta0,0.97053618229331,0.975016516029479,-0.004480333736169073
320,0.45,boundary_mixed_eta0,1.08449313483732,1.089725760841577,-0.005232626004257002
320,0.5,boundary_mixed_eta0,1.1851193037492525,1.1910595285237109,-0.005940224774458436
320,0.55,boundary_mixed_eta0,1.2746254616439796,1.2813090353155967,-0.0066835736716170935
320,0.6,boundary_mixed_eta0,1.3546768514752217,1.362131459161558,-0.007454607686336434
320,0.65,boundary_mixed_eta0,1.426467440139097,1.4347465538912707,-0.008279113752173606
320,0.7,boundary_mixed_eta0,1.4909889769118794,1.5000584910561643,-0.009069514144284918
320,0.75,boundary_mixed_eta0,1.5489454643473022,1.5587334352227868,-0.009787970875484664
320,0.8,boundary_mixed_eta0,1.6009546273167103,1.6113564939955354,-0.010401866678825034
320,0.85,boundary_mixed_eta0,1.647335003755232,1.6587989574830448,-0.011463953727812948
320,0.9,boundary_mixed_eta0,1.6886493126512316,1.7008504875343262,-0.012201174883094579
320,0.95,boundary_mixed_eta0,1.7251152664541016,1.7381814341957271,-0.0130661677416255
320,1.0,boundary_mixed_eta0,1.7570884665287887,1.7710162555958724,-0.013927789067083696
320,1.05,boundary_mixed_eta0,1.7846775938044526,1.7994369206462149,-0.014759326841762288
320,1.1,boundary_mixed_eta0,1.8081217387578736,1.823660893417061,-0.015539154659187426
320,1.15,boundary_mixed_eta0,1.8276295857145133,1.844228943711236,-0.01659935799672274
320,1.2,boundary_mixed_eta0,1.843249997923884,1.86077026860544,-0.017520270681555816
320,1.25,boundary_mixed_eta0,1.8550840820849988,1.8735273222615216,-0.01844324017652288
320,1.3,boundary_mixed_eta0,1.863266934708812,1.882683105160834,-0.01941617045202193
320,1.35,boundary_mixed_eta0,1.8681249057748652,1.888373322114094,-0.020248416339228692
320,1.4,boundary_mixed_eta0,1.8693395327770972,1.8906914987241352,-0.021351965947038032
320,1.45,boundary_mixed_eta0,1.867409177541743,1.88969151884924,-0.022282341307497067
320,1.5,boundary_mixed_eta0,1.862063890163,1.885390341273668,-0.02332645111066789
320,1.55,boundary_mixed_eta0,1.8534455450619072,1.877768098213897,-0.024322553151989723
320,1.6,boundary_mixed_eta0,1.8415839788410011,1.866766418357806,-0.02518243951680499
320,1.65,boundary_mixed_eta0,1.8266411710972956,1.852299809151528,-0.025658638054232297
320,1.7,boundary_mixed_eta0,1.8086605491320085,1.8358110964419807,-0.02715054730997224
320,1.75,boundary_mixed_eta0,1.787435672050533,1.8159682612992825,-0.02853258924874935
320,1.8,boundary_mixed_eta0,1.763184773866154,1.7926012051781723,-0.029416431312018432
320,1.85,boundary_mixed_eta0,1.736072490755877,1.7659742351979282,-0.02990174444205107
320,1.9,boundary_mixed_eta0,1.7058507428942669,1.7376071785018667,-0.03175643560759989
320,1.95,boundary_mixed_eta0,1.6726464608673577,1.7055570691978994,-0.03291060833054171
320,2.0,boundary_mixed_eta0,1.6365815014358862,1.6696231460710838,-0.03304164463519754
320,2.05,boundary_mixed_eta0,1.5976848053265478,1.632835786853623,-0.03515098152707519
320,2.1,boundary_mixed_eta0,1.555831175334761,1.5921087918453107,-0.03627761651054984
320,2.15,boundary_mixed_eta0,1.510898834809863,1.5475669802534635,-0.03666814544360042
320,2.2,boundary_mixed_eta0,1.4634914981844696,1.5023236300686291,-0.03883213188415957
320,0.15,full_max_envelope,0.0,0.0,0.0
320,0.2,full_max_envelope,0.2862473183215338,0.2874151587927827,-0.0011678404712489043
