source,case_id,case_label,eta,nmstv,ref_key,n_radii,d_min,d_max,A_kappa,min_dphi_dr,min_dphi_dr_radius,max_curvature,max_curvature_radius
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:19,100,0.01,1.0,1.0654717382156917,-0.456304799405375,0.19,9.825387140375792,0.32
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:2,100,0.01,1.0,1.1754830345367708,-0.5146436290689833,0.21,10.401011349418916,0.35
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:20,100,0.01,1.0,1.0164433779043125,-0.4513508403399126,0.2,7.131991249843296,0.26
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:21,100,0.01,1.0,1.0460447510327113,-0.46194094723224516,0.19,8.524882936990112,0.28
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:22,100,0.01,1.0,1.0569215881779512,-0.4573443311471294,0.22,8.783239151139593,0.27
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:23,100,0.01,1.0,1.1882273264138408,-0.49661585785613355,0.23,11.338719720280913,0.77
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:24,100,0.01,1.0,1.243679232269459,-0.48242754641614055,0.19,6.831795923619538,0.76
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:25,100,0.01,1.0,1.3029712208531754,-0.4538107772503966,0.22,7.787737722663747,0.98
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:26,100,0.01,1.0,1.0493549915246692,-0.44762938699288396,0.21,7.806723776929888,0.35
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:27,100,0.01,1.0,0.9246816039384174,-0.4020098936429968,0.16,6.3879445031541735,0.59
