source,case_id,case_label,eta,nmstv,ref_id,method,n_radius,dphi_min,dphi_min_radius,curvature_max,curvature_max_radius,curvature_sign_changes,A_kappa
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,20,coarsen_0p10,11,-0.13654817916742099,0.2,0.2855936456803702,0.6,3,0.11685188153663198
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,21,raw_gradient,100,-0.47838650625045,0.97,39.95325157566866,0.92,45,5.248658125017165
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,21,moving_avg_7,100,-0.17650459460297005,0.21,12.189033869153976,1.0,33,1.0012390435852176
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,21,savgol_11_3,100,-0.19533698121682713,0.89,8.821601298862745,1.0,23,0.6886880524472134
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,21,savgol_21_3,100,-0.17123335050432215,0.22,0.7714433142697379,0.42,14,0.13651954516778336
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,21,coarsen_0p05,21,-0.15940259201943396,0.2,0.9283559517798711,0.9,10,0.2618795666037399
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,21,coarsen_0p10,11,-0.147532006407713,0.2,0.4641779758899354,1.0,3,0.14465037556534177
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,22,raw_gradient,100,-0.5825371944444697,0.98,77.03231111428849,1.0,39,5.456062036471221
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,22,moving_avg_7,100,-0.1785922752015705,0.25,8.259409918887043,0.97,31,1.0381079220733032
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,22,savgol_11_3,100,-0.4594115290517311,1.0,3.8001653813584895,0.93,22,0.5450683558168046
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,22,savgol_21_3,100,-0.16973326394579788,0.24,1.2831718056921066,0.8,10,0.15975124549800895
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,22,coarsen_0p05,21,-0.1572831925619871,0.25,1.5455729794513848,1.0,7,0.2713644917391471
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,22,coarsen_0p10,11,-0.15510908906962806,0.3,0.44021818691090014,0.4,4,0.10526389452607104
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,23,raw_gradient,100,-0.4541734988361097,0.66,51.25588254435043,1.0,47,5.1295150544665455
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,23,moving_avg_7,100,-0.17848837890740737,0.32,9.313654778090044,1.0,35,1.0443466727932258
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,23,savgol_11_3,100,-0.24384439637956573,0.78,4.31525268113066,0.81,28,0.5539583699941859
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,23,savgol_21_3,100,-0.158490940742895,0.2,0.6097276232634505,0.68,15,0.13579149079664152
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,23,coarsen_0p05,21,-0.16019228754325102,0.2,1.1125672394164796,0.85,6,0.20444497294337852
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,23,coarsen_0p10,11,-0.1412782114912445,0.3,0.37188109418002246,0.4,3,0.10698061794260547
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,24,raw_gradient,100,-0.5596136916246097,0.8,34.70975619177714,0.81,52,3.7459831567294923
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,24,moving_avg_7,100,-0.3001885944929205,1.0,4.216697428485017,0.92,34,0.6970147081691979
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,24,savgol_11_3,100,-0.1985445917428046,0.32,3.8941756001053154,0.74,26,0.47641992703797764
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,24,savgol_21_3,100,-0.16458185400524875,0.17,0.7077882813931193,0.39,22,0.13019570465190344
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,24,coarsen_0p05,21,-0.15355077759758298,0.15,0.6030437802244515,0.35,10,0.1441869039244737
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,24,coarsen_0p10,11,-0.13732387095519297,0.2,0.17700697165594242,0.4,1,0.0971732114392808
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,25,raw_gradient,100,-0.43973115337618474,0.67,29.793098914453495,0.79,43,3.9297672948761435
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,25,moving_avg_7,100,-0.16558063249354218,0.25,5.230596150173648,0.76,37,0.7713144614917954
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,25,savgol_11_3,100,-0.17458931460702273,0.23,2.3133119358078424,0.86,25,0.44248411083986394
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,25,savgol_21_3,100,-0.15231124669365098,0.22,0.7212011933422575,0.76,11,0.12526090871869763
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,25,coarsen_0p05,21,-0.156997177311679,0.2,0.9951787100952285,0.6,8,0.18557388543339168
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,25,coarsen_0p10,11,-0.1375478672686865,0.3,0.25790679189202104,0.7,2,0.08959135123426457
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,26,raw_gradient,100,-0.3725279113411797,0.86,33.68913273328519,0.87,38,4.2356777855778205
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,26,moving_avg_7,100,-0.19297702294047756,0.33,5.291375405911529,0.96,38,0.7055940890300625
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,26,savgol_11_3,100,-0.21916913248319086,0.34,13.927504335959746,1.0,27,0.8802383348385999
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,26,savgol_21_3,100,-0.17110472055046003,0.3,4.138790266902585,1.0,13,0.34764365642448686
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,26,coarsen_0p05,21,-0.1608898667273871,0.35,1.8152765323007383,0.95,7,0.3374340615859554
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,26,coarsen_0p10,11,-0.13718638905781,0.3,0.4200213399194098,1.0,1,0.14442804433371415
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,27,raw_gradient,100,-0.9851010786738187,1.0,28.415600731827958,0.62,44,4.433279079313153
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,27,moving_avg_7,100,-0.6160422384865426,1.0,6.763769370042629,0.5,38,0.7659526110624475
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,27,savgol_11_3,100,-0.4966604038976017,1.0,3.815538193270756,0.5,26,0.5178812425690511
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,27,savgol_21_3,100,-0.19102317703939878,1.0,0.6104499663181273,0.8,24,0.13931616654113785
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,27,coarsen_0p05,21,-0.1661650501336271,0.25,0.8758301842872918,0.35,8,0.14992885524455296
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,27,coarsen_0p10,11,-0.15635478410339254,0.2,0.33707446210748004,0.5,2,0.09828091638311405
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,28,raw_gradient,100,-0.47368474736386457,0.42,28.389638185890707,0.8,44,3.8436154753503047
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,28,moving_avg_7,100,-0.22489876421280147,1.0,4.860125864950354,0.89,34,0.6334479884278712
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,28,savgol_11_3,100,-0.19538398803806623,0.27,4.010615439121286,0.46,23,0.4927289788696688
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,28,savgol_21_3,100,-0.16030642333356626,0.26,0.7940218685234828,0.32,11,0.16809444089693973
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,28,coarsen_0p05,21,-0.15223078752844707,0.3,0.9392358638855188,0.45,7,0.20032104918452204
