source,case_id,case_label,eta,nmstv,radius,ref_count,phi_mean,phi_sd,phi_sem,split_mean,split_max,ess_fraction_mean
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.81,30,-0.07488000825961928,0.00362099965749453,0.0006611010643760785,0.0038183326258114467,0.0113039434234208,0.8232765459893225
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.82,30,-0.07591585148782275,0.003380223148110374,0.0006171414892070591,0.0029956960477383566,0.0142692703452025,0.8467710476457356
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.83,30,-0.07641544189986119,0.0025581707422334026,0.00046705594049032306,0.0033699581352292663,0.008962794815179,0.7661701788463051
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.84,30,-0.07701416121663389,0.003610253816487817,0.0006591391512031646,0.0037046666357914296,0.01038105026581,0.7533912087820163
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.85,30,-0.0772915591881884,0.0030994762105254906,0.000565884345651814,0.00331822618395064,0.0124768336800455,0.7996341583215709
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.86,30,-0.07711244757178783,0.0032406786392854387,0.0005916642641205941,0.00482824139578147,0.0149201616601852,0.805611227099232
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.87,30,-0.07875828367492256,0.0033418342817672156,0.0006101326731893268,0.00403536581237052,0.0119598333099571,0.7792892208342025
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.88,30,-0.07922846468636952,0.0027026080943519585,0.0004934264724575394,0.002885674561946917,0.0068040410485993,0.7677678928309662
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.89,30,-0.0792511509233039,0.003044449315980724,0.000555837855181272,0.00428277867775968,0.0147128224194626,0.7869393292011506
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.9,30,-0.07955919419443366,0.0030802523492409026,0.0005623745648291748,0.004018285171898394,0.0133695177528716,0.770056941807391
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.91,30,-0.07972041389088155,0.0032650386932002846,0.0005961117811309959,0.005076521519484557,0.0127433330637259,0.769797930603655
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.92,30,-0.0812353913136778,0.0034900554958178856,0.0006371940406681109,0.003608090969410761,0.0118157526652742,0.8238622343539315
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.93,30,-0.08117501748241536,0.00329193076870231,0.0006010215799211923,0.004214557353001147,0.011172491500076,0.836353923990641
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.94,30,-0.08129924828931032,0.0037501073615878455,0.0006846727983359488,0.004814738124262213,0.0126096707836125,0.8238130104198881
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.95,30,-0.0824391326370284,0.003013264674969741,0.0005501443447381327,0.0039243857101444535,0.0110532052095461,0.7870466475741729
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.96,30,-0.08328226666125728,0.0024796757156955295,0.0004527247749280688,0.0033389195877738965,0.0090726786556937,0.809641485453992
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.97,30,-0.08367961274434405,0.0037539309432113688,0.0006853708856378365,0.0044412546167819636,0.0151441899246916,0.7819188145749114
