eta,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
0.25,2461,0.75,0.0063002569601051,0.00630026
0.25,2461,0.75,0.0019688705614978,-0.00196887
0.25,2461,0.75,0.0041175916582959,0.00411759
0.25,2461,0.75,0.0049242431690241,0.00492424
0.25,2461,0.75,0.0055895807495154,0.00558958
0.25,2461,0.8,0.0022572182011998,0.00225722
0.25,2461,0.8,0.000746913940859,0.000746914
0.25,2461,0.8,0.0053823752215027,0.00538238
0.25,2461,0.8,0.0007487263718435,-0.000748726
0.25,2461,0.8,0.0020824589991493,0.00208246
0.25,2461,0.8,0.0016953918272081,0.00169539
0.25,2461,0.8,0.0030842990025776,0.0030843
0.25,2461,0.8,0.0014796374659765,0.00147964
0.25,2461,0.8,0.0035317032234643,0.0035317
0.25,2461,0.8,0.0003422958513308,0.000342296
0.25,2461,0.8,0.0042721197704089,0.00427212
0.25,2461,0.8,0.007488329548551,-0.00748833
0.25,2461,0.8,0.0008965800462123,-0.00089658
0.25,2461,0.8,0.0020395837870113,-0.00203958
0.25,2461,0.8,0.0030519180086656,0.00305192
