beta_i,beta_j,crossing_count,robust_crossing_count,fine_minus_coarse_gap_i,fine_minus_coarse_gap_j,mean_gap_min,z_gap_max_abs
0.1,0.24,0.0,0.0,-0.014005959806803914,-0.010469139281846812,0.29891662308017986,9.941198550744991
0.1,0.25,0.0,0.0,-0.014005959806803914,-0.014739838053152196,0.32620504562429486,10.362457842042485
0.1,0.26,0.0,0.0,-0.014005959806803914,-0.011715419505121068,0.33064700517858614,12.85758556309214
0.1,0.27,0.0,0.0,-0.014005959806803914,-0.012514270388231802,0.3304632919913037,12.258770801313876
0.1,0.28,0.0,0.0,-0.014005959806803914,-0.012607256177784965,0.33214625223401867,14.472673284370256
0.1,0.29,0.0,0.0,-0.014005959806803914,-0.00898072030617239,0.3370516243857625,14.835901657297475
0.1,0.3,0.0,0.0,-0.014005959806803914,-0.01233295891521309,0.347296345019066,14.628668963650792
0.1,0.31,0.0,0.0,-0.014005959806803914,-0.014427171769273314,0.34057404131489555,14.484151122949369
0.1,0.32,0.0,0.0,-0.014005959806803914,-0.014903778841945735,0.34567735922680337,13.717338899519813
0.1,0.33,0.0,0.0,-0.014005959806803914,-0.015593147267197245,0.3462791263791442,14.200979361272385
0.1,0.34,0.0,0.0,-0.014005959806803914,-0.015737403111992024,0.349311282839943,15.788604056399569
0.1,0.35,0.0,0.0,-0.014005959806803914,-0.01436233543512161,0.3482699349882803,15.173902326125294
0.1,0.36,0.0,0.0,-0.014005959806803914,-0.016362094713129344,0.35134822842663455,15.501951016215083
0.1,0.37,0.0,0.0,-0.014005959806803914,-0.020787903005697723,0.34061364947532047,14.67510670376812
0.1,0.38,0.0,0.0,-0.014005959806803914,-0.018443482631262796,0.3519150244805117,15.746726801554992
0.1,0.39,0.0,0.0,-0.014005959806803914,-0.020008167379347158,0.3462513306639987,15.570893190990388
0.1,0.4,0.0,0.0,-0.014005959806803914,-0.01917427845331409,0.3470939460659564,14.290456728263344
0.11,0.12,0.0,0.0,-0.01101399830069788,-0.010341316741160289,0.013970795039413786,0.4407633427307351
0.11,0.13,0.0,0.0,-0.01101399830069788,-0.01805170130895445,0.03227492897697559,1.0563198793114703
0.11,0.14,0.0,0.0,-0.01101399830069788,-0.010643547490562899,0.06357780355147913,2.1690347327967086
0.11,0.15,0.0,0.0,-0.01101399830069788,-0.01711951426830771,0.08953769504677744,2.59154835082452
0.11,0.16,0.0,0.0,-0.01101399830069788,-0.014767909799972334,0.11566420656145648,3.324985180426701
0.11,0.17,0.0,0.0,-0.01101399830069788,-0.017465074132430702,0.16192856435293257,4.334669936402394
0.11,0.18,0.0,0.0,-0.01101399830069788,-0.020331183954305665,0.17077146670705903,5.029520325705644
0.11,0.19,0.0,0.0,-0.01101399830069788,-0.024350510102401496,0.20722605608765848,6.2024285502931775
0.11,0.2,0.0,0.0,-0.01101399830069788,-0.02286452424310703,0.2240765307758529,6.845554442716816
0.11,0.21,0.0,0.0,-0.01101399830069788,-0.016502669171477857,0.254226264677321,9.192012848467654
0.11,0.22,0.0,0.0,-0.01101399830069788,-0.01330093454270835,0.2745544865926353,9.965280921304354
0.11,0.23,0.0,0.0,-0.01101399830069788,-0.012112374350320865,0.2958698947674977,9.827687799569258
0.11,0.24,0.0,0.0,-0.01101399830069788,-0.010469139281846812,0.2905186034998656,8.850231949900062
0.11,0.25,0.0,0.0,-0.01101399830069788,-0.014739838053152196,0.3148150645378745,9.295833646488765
0.11,0.26,0.0,0.0,-0.01101399830069788,-0.011715419505121068,0.3215475643938486,11.184847389975639
0.11,0.27,0.0,0.0,-0.01101399830069788,-0.012514270388231802,0.3205650003234554,10.799002918647279
0.11,0.28,0.0,0.0,-0.01101399830069788,-0.012607256177784965,0.32215497477661725,12.328522363551192
0.11,0.29,0.0,0.0,-0.01101399830069788,-0.00898072030617239,0.3286536048054482,12.61092887137434
0.11,0.3,0.0,0.0,-0.01101399830069788,-0.01233295891521309,0.33757936482423645,12.542488227705569
0.11,0.31,0.0,0.0,-0.01101399830069788,-0.014427171769273314,0.3292914211431717,12.404905547656252
