radius,dataset_count,phi_energy_mean,phi_energy_ci95_low,phi_energy_ci95_high
1.34,90.0,-0.0051424744330376,-0.0052660659063066,-0.0050188829597685
1.35,90.0,-0.0051584335465311,-0.0052821869166959,-0.0050346801763664
1.36,90.0,-0.0051747732105362,-0.0052988419441599,-0.0050507044769124
1.37,90.0,-0.0051912198215285,-0.0053154504038066,-0.0050669892392505
1.38,90.0,-0.0052084637173567,-0.0053329939149274,-0.005083933519786
1.39,90.0,-0.0052242896045223,-0.0053489927275993,-0.0050995864814453
1.4,90.0,-0.0052388291972054,-0.0053636742695059,-0.0051139841249049
1.41,90.0,-0.0052556282569308,-0.0053806714817368,-0.0051305850321249
1.42,90.0,-0.00527323817502,-0.0053984018991087,-0.0051480744509313
1.43,90.0,-0.0052880120385146,-0.00541343391222,-0.0051625901648092
1.44,90.0,-0.005302706772182,-0.0054279823491122,-0.0051774311952518
1.45,90.0,-0.0053199744023116,-0.0054459364595876,-0.0051940123450357
1.46,90.0,-0.0053355506819112,-0.0054613844106048,-0.0052097169532176
1.47,90.0,-0.0053508976576023,-0.0054770222166994,-0.0052247730985053
1.48,90.0,-0.0053668818855251,-0.0054932143483263,-0.0052405494227239
1.49,90.0,-0.0053827506957794,-0.0055093434322753,-0.0052561579592834
1.5,90.0,-0.0053982243483351,-0.0055250719371662,-0.005271376759504
1.51,90.0,-0.0054141170439028,-0.005541074173899,-0.0052871599139067
1.52,90.0,-0.0054287857261966,-0.005555686720444,-0.0053018847319491
1.53,90.0,-0.0054446062963585,-0.0055715960347576,-0.0053176165579594
1.54,90.0,-0.0054604821496039,-0.0055878256399012,-0.0053331386593065
1.55,90.0,-0.0054753226668432,-0.0056027831905773,-0.005347862143109
1.56,90.0,-0.0054911642387913,-0.0056187196831164,-0.0053636087944663
1.57,90.0,-0.0055070106185815,-0.0056346465183711,-0.0053793747187918
1.58,90.0,-0.0055222495025848,-0.0056500772737234,-0.0053944217314463
