k,edge_count,p_pos,random_cut_fraction,cut_fraction,knn_nmstv,signed_alignment,eta,replicate
3,1193,0.478515625,0.49907684326171875,0.44341994970662196,0.8884803125880357,0.11316010058675607,0.3,9
3,1193,0.490234375,0.49980926513671875,0.46437552388935455,0.9291054733895907,0.07124895222129086,0.35,9
3,1193,0.486328125,0.49962615966796875,0.4920368818105616,0.9848100870810074,0.01592623637887678,0.4,9
3,1193,0.490234375,0.49980926513671875,0.5004191114836547,1.0012201581472666,-0.0008382229673093043,0.45,9
3,1193,0.51171875,0.499725341796875,0.5054484492875104,1.0114525060307262,-0.010896898575020955,0.5,9
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,10
3,1193,0.501953125,0.49999237060546875,0.18440905280804695,0.3688237334196434,0.6311818943839062,0.02,10
3,1193,0.50390625,0.499969482421875,0.2196144174350377,0.439255644906996,0.5607711651299245,0.04,10
3,1193,0.5,0.5,0.26152556580050296,0.5230511316010059,0.47694886839899414,0.06,10
3,1193,0.513671875,0.49962615966796875,0.28667225481978204,0.573773508997793,0.4266554903604359,0.08,10
3,1193,0.515625,0.49951171875,0.2933780385582565,0.5873296412192662,0.413243922883487,0.1,10
3,1193,0.521484375,0.49907684326171875,0.31181894383906117,0.6247914485496205,0.3763621123218776,0.12,10
3,1193,0.53125,0.498046875,0.3403185247275775,0.6833062143549792,0.3193629505448449,0.15,10
3,1193,0.5234375,0.4989013671875,0.36546521374685664,0.7325400124820772,0.26906957250628666,0.18,10
3,1193,0.53125,0.498046875,0.3721709974853311,0.7472609831862335,0.25565800502933783,0.2,10
3,1193,0.5234375,0.4989013671875,0.41743503772003354,0.8367085463671433,0.16512992455993294,0.25,10
3,1193,0.51953125,0.499237060546875,0.4425817267393127,0.8865161698021761,0.11483654652137469,0.3,10
3,1193,0.5234375,0.4989013671875,0.46186085498742663,0.9257558414624416,0.07627829002514669,0.35,10
