eta,k,replicate_count,edge_count,p_pos_mean,p_pos_sd,cut_fraction_mean,cut_fraction_sd,cut_fraction_sem,knn_nmstv_mean,knn_nmstv_sd,knn_nmstv_sem,signed_alignment_mean,signed_alignment_sd
0.2,8,20,3161,0.50185546875,0.021371704786855565,0.3851945586839608,0.016444533590635465,0.003677109496693961,0.7717413506350558,0.032952214418091014,0.0073683391448000225,0.22961088263207846,0.03288906718127093
0.25,8,20,3161,0.49716796875,0.020390977496827133,0.4163714014552357,0.014113660179089618,0.003155910357177624,0.8341008649043495,0.028649201549444617,0.006406156216565047,0.16725719708952863,0.028227320358179236
0.3,8,20,3161,0.49970703125,0.02168690980339334,0.447832964251819,0.013715852779079803,0.0030669579183401838,0.8972952598108923,0.02831031228468748,0.006330378273280863,0.10433407149636191,0.02743170555815961
0.35,8,20,3161,0.50087890625,0.018609790926651364,0.4700569440050617,0.012005848507968337,0.0026845893391381627,0.9413626375962979,0.024300597517577377,0.005433778794316568,0.059886111989876624,0.024011697015936664
0.4,8,20,3161,0.50283203125,0.0143870595108318,0.4867921543815248,0.009350815270249313,0.0020909058589320528,0.9743875243249936,0.01898897874161518,0.004246064728954996,0.026415691236950332,0.018701630540498622
0.45,8,20,3161,0.50703125,0.013946662892563782,0.4963302752293578,0.005614191707683687,0.0012553714297096352,0.9935902160814077,0.011081831967602032,0.002477972959478843,0.007339449541284404,0.011228383415367362
0.5,8,20,3161,0.50556640625,0.014647066821836608,0.5003638089212274,0.007247726807879812,0.0016206409824766834,1.001670079010661,0.014566091105989883,0.0032570769879448447,-0.0007276178424549197,0.014495453615759653
0.0,16,20,6434,0.5,0.0,0.2489897419956481,0.0,6.367565748859375e-18,0.4979794839912962,0.0,1.273513149771875e-17,0.5020205160087038,0.0
0.02,16,20,6434,0.49833984375,0.006020769278128192,0.26855766241840223,0.006975235752953172,0.0015597101302690204,0.5371953869648651,0.013957956487061728,0.0031210939532054153,0.46288467516319554,0.013950471505906305
0.04,16,20,6434,0.49755859375,0.009732158940063752,0.2872241218526578,0.00891291170445913,0.001992987644862408,0.5746685593912157,0.017823822227471028,0.003985527811949685,0.4255517562946845,0.0178258234089182
0.06,16,20,6434,0.49814453125,0.011147590895177388,0.30469381411252716,0.011520771851026962,0.0025761229012162368,0.6096785791730069,0.02289298431408044,0.005119026913412018,0.39061237177494557,0.023041543702053923
0.08,16,20,6434,0.50244140625,0.014266540452230277,0.3223500155424308,0.011352416011176461,0.0025384773909847566,0.6452105713190115,0.02258613043635641,0.00505041230043699,0.3552999689151383,0.0227048320223529
0.1,16,20,6434,0.501953125,0.0145055392947061,0.33823437985700966,0.011812527282046643,0.0026413613988727153,0.6770244399167822,0.02373347603077726,0.00530696657471799,0.32353124028598074,0.023625054564093324
0.12,16,20,6434,0.50283203125,0.01629764876093059,0.3521914827479018,0.014067944814789471,0.003145688090958495,0.7051156783215176,0.028091489192783328,0.006281447942426423,0.29561703450419646,0.028135889629578952
