rule,radius,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2,d_phi_energy_direct_dd,d_phi_energy_direct_dd_sem
real_even_odd,0.03,30,30,complete,True,-0.0074529506207274936,-0.4785894326011232,-0.007452950620727483,-0.47858943260112163,34.63582344469552,-1469.348150240415,-0.007081807469820983,0.0008900481763504654
real_even_odd,0.04,30,30,complete,True,-0.013425534201815168,-0.7143698660108815,-0.013425534201815137,-0.7143698660108803,25.517477238336525,-719.6273099629033,-0.012891231214583798,0.0012678308774915518
real_even_odd,0.05,30,30,complete,True,-0.021740347940945128,-0.9012459700473966,-0.021740347940945093,-0.9012459700474006,20.243277245437447,-436.6075974289596,-0.02139419632880778,0.0016794335789414249
real_even_odd,0.06,30,30,complete,True,-0.0314504536027631,-1.055065051506099,-0.03145045360276315,-1.0550650515061,16.78532528975733,-295.39300462353344,-0.031828440544161174,0.0020084390748470893
real_even_odd,0.07,30,30,complete,True,-0.04284164897106712,-1.1239916596809407,-0.0428416489710671,-1.1239916596809405,14.33541715296678,-213.93200518787546,-0.04274873876196351,0.0022583211504802582
real_even_odd,0.08,30,30,complete,True,-0.05393028679638191,-1.0904036906351031,-0.053930286796381954,-1.0904036906351062,12.506685185999817,-162.37114525750292,-0.054507809233104755,0.002400775173558395
real_even_odd,0.09,30,30,complete,True,-0.06464972278376917,-1.0919058081180761,-0.06464972278376921,-1.0919058081180695,11.087994247816724,-127.64979155998441,-0.06460123358820181,0.002224870938919334
real_even_odd,0.1,30,30,complete,True,-0.07576840295874344,-1.1856615409818243,-0.07576840295874336,-1.1856615409818234,9.95368935480013,-103.19917893211107,-0.07501165766550193,0.0024371350256160093
real_even_odd,0.11,30,30,complete,True,-0.08836295360340565,-0.7886693289845641,-0.08836295360340568,-0.7886693289845708,9.024010669174501,-84.79604698593562,-0.08474217717994172,0.0025637543756025054
real_even_odd,0.12,30,30,complete,True,-0.09154178953843473,-0.3515229030970701,-0.09154178953843477,-0.3515229030970701,8.257768415081419,-70.75009801288297,-0.09451937032571238,0.0025548064712568627
real_even_odd,0.13,30,30,complete,True,-0.09539341166534707,-0.828307615824583,-0.09539341166534708,-0.8283076158245821,7.609008708916843,-60.68707733883667,-0.1006507032007013,0.0023963462982393305
real_even_odd,0.14,30,30,complete,True,-0.10810794185492639,-0.7839539901086017,-0.10810794185492642,-0.7839539901086008,7.044026868304684,-52.31122595143506,-0.10732870317128852,0.0021229436279743812
real_even_odd,0.15,30,30,complete,True,-0.11107249146751913,-0.06291697457994427,-0.11107249146751913,-0.06291697457994072,6.562784189888141,-44.88894672793333,-0.11383609170628207,0.002098904458012722
real_even_odd,0.16,30,30,complete,True,-0.10936628134652526,-0.7103408029590268,-0.10936628134652521,-0.7103408029590383,6.146247933746018,-40.065235298715095,-0.11588306290747757,0.0023949295968110607
real_even_odd,0.17,30,30,complete,True,-0.1252793075266997,-1.148445227594296,-0.1252793075266999,-1.1484452275943013,5.761479483913838,-35.97805645849945,-0.11823362728645494,0.0019902999126437107
real_even_odd,0.18,30,30,complete,True,-0.1323351858984112,-0.08178412324179796,-0.13233518589841126,-0.0817841232417722,5.426686804576029,-31.125464737271045,-0.12336629352671737,0.0021399981145189826
real_even_odd,0.19,30,30,complete,True,-0.1269149899915356,0.355682611058028,-0.12691498999153533,0.35568261105803334,5.138970189168418,-27.488440023008565,-0.12467496408055173,0.0021911990859187626
real_even_odd,0.2,30,30,complete,True,-0.12522153367725064,0.2942246184395927,-0.12522153367725058,0.2942246184395785,4.876918004115858,-24.821405409611714,-0.12796660143218228,0.0014861669953379149
real_even_odd,0.21,30,30,complete,True,-0.12103049762274376,-0.058945923178365334,-0.12103049762274376,-0.05894592317836267,4.642542080976185,-22.828890726194857,-0.12673268151510209,0.0017074995502092414
real_even_odd,0.22,30,30,complete,True,-0.12640045214081796,-0.8163136817019128,-0.12640045214081785,-0.8163136817019128,4.420340189591961,-21.554890402699527,-0.12736528023245394,0.0015747023596569384
real_even_odd,0.23,30,30,complete,True,-0.13735677125678203,0.41463059566931815,-0.13735677125678203,0.4146305956693066,4.2114442729221935,-18.55308211869584,-0.12436378226835818,0.0016203865502208295
real_even_odd,0.24,30,30,complete,True,-0.1181078402274317,0.6697750585709077,-0.11810784022743182,0.6697750585709183,4.049278547218044,-16.744819128334484,-0.12495213651748248,0.001292062959360397
real_even_odd,0.25,30,30,complete,True,-0.12396127008536395,-1.1470354332415766,-0.12396127008536373,-1.1470354332415766,3.8765478903555035,-17.19193262461755,-0.12359649841770055,0.0013714372362415652
