beta,radius,sample_row_count,ref_count,dataset_count,claim,acceptance
0.09,0.43,1800,1800,60,pass,pass
0.09,0.44,1800,1800,60,pass,pass
0.09,0.45,1800,1800,60,pass,pass
0.09,0.46,1800,1800,60,pass,pass
0.09,0.47,1800,1800,60,pass,pass
0.09,0.48,1800,1800,60,pass,pass
0.09,0.49,1800,1800,60,pass,pass
0.09,0.5,1800,1800,60,pass,pass
0.09,0.51,1800,1800,60,pass,pass
0.09,0.52,1800,1800,60,pass,pass
0.09,0.53,1800,1800,60,pass,pass
0.09,0.54,1800,1800,60,pass,pass
0.09,0.55,1800,1800,60,pass,pass
0.09,0.56,1800,1800,60,pass,pass
0.09,0.57,1800,1800,60,pass,pass
0.09,0.58,1800,1800,60,pass,pass
0.09,0.59,1800,1800,60,pass,pass
0.09,0.6,1800,1800,60,pass,pass
0.09,0.61,1800,1800,60,pass,pass
0.09,0.62,1800,1800,60,pass,pass
0.09,0.63,1800,1800,60,pass,pass
0.09,0.64,1800,1800,60,pass,pass
0.09,0.65,1800,1800,60,pass,pass
0.09,0.66,1800,1800,60,pass,pass
0.09,0.67,1800,1800,60,pass,pass
0.09,0.68,1800,1800,60,pass,pass
0.09,0.69,1800,1800,60,pass,pass
0.09,0.7,1800,1800,60,pass,pass
0.09,0.71,1800,1800,60,pass,pass
0.09,0.72,1800,1800,60,pass,pass
0.09,0.73,1800,1800,60,pass,pass
0.09,0.74,1800,1800,60,pass,pass
0.09,0.75,1800,1800,60,pass,pass
0.09,0.76,1800,1800,60,pass,pass
0.09,0.77,1800,1800,60,pass,pass
0.09,0.78,1800,1800,60,pass,pass
0.09,0.79,1800,1800,60,pass,pass
0.09,0.8,1800,1800,60,pass,pass
0.09,0.81,1800,1800,60,pass,pass
0.09,0.82,1800,1800,60,pass,pass
0.09,0.83,1800,1800,60,pass,pass
0.09,0.84,1800,1800,60,pass,pass
0.09,0.85,1800,1800,60,pass,pass
0.09,0.86,1800,1800,60,pass,pass
0.09,0.87,1800,1800,60,pass,pass
0.09,0.88,1800,1800,60,pass,pass
0.09,0.89,1800,1800,60,pass,pass
0.09,0.9,1800,1800,60,pass,pass
0.09,0.91,1800,1800,60,pass,pass
0.09,0.92,1800,1800,60,pass,pass
0.09,0.93,1800,1800,60,pass,pass
0.09,0.94,1800,1800,60,pass,pass
0.09,0.95,1800,1800,60,pass,pass
0.09,0.96,1800,1800,60,pass,pass
0.09,0.97,1800,1800,60,pass,pass
0.09,0.98,1800,1800,60,pass,pass
0.09,0.99,1800,1800,60,pass,pass
0.09,1.0,1800,1800,60,pass,pass
0.09,1.01,1800,1800,60,pass,pass
0.09,1.02,1800,1800,60,pass,pass
0.09,1.03,1800,1800,60,pass,pass
0.09,1.04,1800,1800,60,pass,pass
0.09,1.05,1800,1800,60,pass,pass
0.09,1.06,1800,1800,60,pass,pass
0.09,1.07,1800,1800,60,pass,pass
0.09,1.08,1800,1800,60,pass,pass
0.09,1.09,1800,1800,60,pass,pass
0.09,1.1,1800,1800,60,pass,pass
0.09,1.11,1800,1800,60,pass,pass
0.09,1.12,1800,1800,60,pass,pass
0.09,1.13,1800,1800,60,pass,pass
