rule,radius,d0,phi_energy_raw,delta_phi_energy,delta_phi_full,n_units,target_ref_count_x,target_ref_count_y,observed_ref_count,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_delta_phi_energy,qc_diagnostic_pass,sampling_status,run
low_tv_spectral_teacher,1.4,0.1,-0.0933276208123351,-0.0877602833367074,2.5502246946614786,90,90,90,90,1.0,0.6086073858541032,0.0148918978834827,0.0004548172973453,False,complete,90ref
low_tv_spectral_teacher,1.5,0.1,-0.0965628326676144,-0.0909954951919868,2.615954319806565,90,90,90,90,1.0,0.6235603572097953,0.0172519904203087,0.0005140759212206,False,complete,90ref
low_tv_spectral_teacher,1.6,0.1,-0.0993685736961469,-0.0938012362205192,2.67766087540478,90,90,90,90,1.0,0.6087010748844229,0.0169218261759974,0.0004898273897533,False,complete,90ref
low_tv_spectral_teacher,1.7,0.1,-0.1020565275017897,-0.0964891900261621,2.735572909274241,90,90,90,90,1.0,0.5895387843660382,0.0162303562476571,0.0004727289482067,False,complete,90ref
low_tv_spectral_teacher,1.8,0.1,-0.1051314813503054,-0.0995641438746777,2.789633143579432,90,90,90,90,1.0,0.578230739123854,0.0198682473890811,0.0005498373843734,False,complete,90ref
low_tv_spectral_teacher,1.9,0.1,-0.1066904366216651,-0.1011230991460375,2.842119439963854,90,90,90,90,1.0,0.6441157760513065,0.0207193767938151,0.0005699057219604,False,complete,90ref
low_tv_spectral_teacher,2.0,0.1,-0.1096899768568465,-0.1041226393812189,2.8903923516560903,90,90,90,90,1.0,0.5922776205671625,0.0182238234688343,0.0005326105783936,False,complete,90ref
low_tv_spectral_teacher,2.1,0.1,-0.1131771540033306,-0.1076098165277029,2.935675513338051,90,90,90,90,1.0,0.6262931202066532,0.0222480136802669,0.0006312466003228,False,complete,90ref
low_tv_spectral_teacher,2.2,0.1,-0.1146980087592324,-0.1091306712836048,2.9806557713256834,90,90,90,90,1.0,0.5993955316776863,0.0188823752735494,0.0005960755210943,False,complete,90ref
low_tv_spectral_teacher,2.3,0.1,-0.1177372605869798,-0.1121699231113522,3.0220502195890577,90,90,90,90,1.0,0.597204497761333,0.0305737310342763,0.0006012691556519,False,complete,90ref
low_tv_spectral_teacher,2.4,0.1,-0.1193848728030949,-0.1138175353274673,3.0629449281653995,90,90,90,90,1.0,0.5765312123203138,0.0211850071370767,0.0006272985046656,False,complete,90ref
low_tv_spectral_teacher,2.5,0.1,-0.1202491899884015,-0.1146818525127739,3.102886017936545,90,90,90,90,1.0,0.5789395402994638,0.0270017035833214,0.0006068619361702,False,complete,90ref
random_label,0.1,0.1,-0.026890111610131,0.0,0.0,90,90,90,90,1.0,0.5658880220262799,0.0062017214033416,0.0,False,complete,90ref
random_label,0.2,0.1,-0.0936497828094033,-0.0667596711992722,0.6261058567070527,90,90,90,90,1.0,0.5898029291233032,0.0185860374316348,0.0008642487181498,False,complete,90ref
random_label,0.3,0.1,-0.1430017588242921,-0.116111647214161,0.9820542325597312,90,90,90,90,1.0,0.6350109524532991,0.0255170805388762,0.0008515675311177,False,complete,90ref
random_label,0.4,0.1,-0.1577579889946394,-0.1308678773845083,1.2548631784281414,90,90,90,90,1.0,0.5842064850341973,0.0162531313958989,0.0007623281958265,False,complete,90ref
random_label,0.5,0.1,-0.1585538696644625,-0.1316637580543314,1.477120177170328,90,90,90,90,1.0,0.6075464851317267,0.0221252736028337,0.000680223733223,False,complete,90ref
random_label,0.6,0.1,-0.1587964784993474,-0.1319063668892163,1.659125040791001,90,90,90,90,1.0,0.5960763689592605,0.0143066126913126,0.0006468622662405,False,complete,90ref
random_label,0.7,0.1,-0.1592025720074132,-0.1323124603972822,1.812806989694579,90,90,90,90,1.0,0.6165674084160513,0.0119232321321927,0.0006242687453722,False,complete,90ref
random_label,0.8,0.1,-0.1595094258996673,-0.1326193142895362,1.9459772694294384,90,90,90,90,1.0,0.5721600074561721,0.0093708847507763,0.0004554600088844,False,complete,90ref
random_label,0.9,0.1,-0.160028786332391,-0.13313867472226,2.0631930848255253,90,90,90,90,1.0,0.5938399527601979,0.0115702344510867,0.000560996526532,False,complete,90ref
random_label,1.0,0.1,-0.1607878038739638,-0.1338976922638327,2.167751770867152,90,90,90,90,1.0,0.6440293920362274,0.0099170922645946,0.0004909589176742,False,complete,90ref
random_label,1.1,0.1,-0.1618899845445773,-0.1349998729344462,2.2619210417685167,90,90,90,90,1.0,0.6043306031085287,0.0102077913857369,0.0005227730820309,False,complete,90ref
random_label,1.2,0.1,-0.1627060028871425,-0.1358158912770114,2.3480810443095312,90,90,90,90,1.0,0.5847452639876961,0.0077533222367943,0.00043710455379,False,complete,90ref
random_label,1.3,0.1,-0.1637740097073139,-0.1368838980971828,2.4270232206981768,90,90,90,90,1.0,0.5863431275505703,0.0078739271355048,0.0004658006019633,False,complete,90ref
random_label,1.4,0.1,-0.1649897515626746,-0.1380996399525435,2.4998853380456425,90,90,90,90,1.0,0.6221699032617717,0.0095324543053425,0.0005103707857058,False,complete,90ref
random_label,1.5,0.1,-0.1664007166173442,-0.1395106050072131,2.567439209991339,90,90,90,90,1.0,0.6078057102209959,0.0076634365062563,0.0005585400239616,False,complete,90ref
random_label,1.6,0.1,-0.1668842343506008,-0.1399941227404697,2.6314679888848294,90,90,90,90,1.0,0.5903753895010985,0.0097584762753393,0.000460732881921,False,complete,90ref
random_label,1.7,0.1,-0.1683660614112381,-0.1414759498011071,2.690586149499296,90,90,90,90,1.0,0.6221070900160782,0.010884755173527,0.0004969843940674,False,complete,90ref
random_label,1.8,0.1,-0.1695364470080318,-0.1426463353979007,2.746550952056209,90,90,90,90,1.0,0.5659088475797324,0.0099242824780294,0.0004334056423393,False,complete,90ref
random_label,1.9,0.1,-0.1703781220731028,-0.1434880104629718,2.79975452864692,90,90,90,90,1.0,0.6136374602916264,0.0116150408115564,0.0005160582488851,False,complete,90ref
random_label,2.0,0.1,-0.171456454723663,-0.144566343113532,2.849948647923777,90,90,90,90,1.0,0.6125304926669815,0.0127914655296203,0.0004985073294313,False,complete,90ref
random_label,2.1,0.1,-0.1731663731965071,-0.1462762615863761,2.897009068279378,90,90,90,90,1.0,0.6182686973069926,0.0092309369683157,0.0004694163949454,False,complete,90ref
