q,beta,radius,H_q,H_q_numeric,mean_R_H_at_H_q,ref_count,claim
0.5,0.06,1.24,4.0,4.0,0.9368815457720852,0,
0.9,0.06,1.24,4.0,4.0,0.9368815457720852,0,
0.99,0.06,1.24,4.0,4.0,0.9970703124999998,0,
0.5,0.06,1.25,4.0,4.0,0.9314688286875552,0,
0.9,0.06,1.25,4.0,4.0,0.9314688286875552,0,
0.99,0.06,1.25,4.0,4.0,0.9980468750000001,0,
0.5,0.06,1.26,4.0,4.0,0.9178023922003534,0,
0.9,0.06,1.26,4.0,4.0,0.9178023922003534,0,
0.99,0.06,1.26,4.0,4.0,0.9990234374999996,0,
0.5,0.06,1.27,4.0,4.0,0.921290766395769,0,
0.9,0.06,1.27,4.0,4.0,0.921290766395769,0,
0.99,0.06,1.27,4.0,4.0,0.9960937499999998,0,
0.5,0.06,1.28,4.0,4.0,0.91024609718907,0,
0.9,0.06,1.28,4.0,4.0,0.91024609718907,0,
0.99,0.06,1.28,4.0,4.0,0.9970703124999998,0,
0.5,0.06,1.29,4.0,4.0,0.9345950039578667,0,
0.9,0.06,1.29,4.0,4.0,0.9345950039578667,0,
0.99,0.06,1.29,4.0,4.0,0.9960937499999998,0,
0.5,0.06,1.3,4.0,4.0,0.9252030379543563,0,
0.9,0.06,1.3,4.0,4.0,0.9252030379543563,0,
0.99,0.06,1.3,4.0,4.0,0.9931640625,0,
0.5,0.06,1.31,4.0,4.0,0.9036394006190218,0,
0.9,0.06,1.31,4.0,4.0,0.9036394006190218,0,
0.99,0.06,1.31,4.0,4.0,0.9941406249999999,0,
0.5,0.06,1.32,4.0,4.0,0.9195209814065067,0,
0.9,0.06,1.32,4.0,4.0,0.9195209814065067,0,
0.99,0.06,1.32,4.0,4.0,0.9933240897323682,0,
0.5,0.06,1.33,4.0,4.0,0.9033519494708355,0,
0.9,0.06,1.33,4.0,4.0,0.9033519494708355,0,
0.99,0.06,1.33,4.0,4.0,0.9922345203442838,0,
0.5,0.06,1.34,4.0,4.0,0.911203979347778,0,
0.9,0.06,1.34,4.0,4.0,0.911203979347778,0,
0.99,0.06,1.34,4.0,4.0,0.9941406249999999,0,
0.5,0.06,1.35,4.0,4.0,0.9122824105578478,0,
0.9,0.06,1.35,4.0,4.0,0.9122824105578478,0,
0.99,0.06,1.35,4.0,4.0,0.9921875000000002,0,
0.5,0.06,1.36,4.0,4.0,0.9072867658464219,0,
0.9,0.06,1.36,4.0,4.0,0.9072867658464219,0,
0.99,0.06,1.36,4.0,4.0,0.9960937499999998,0,
0.5,0.06,1.37,4.0,4.0,0.9071926753371643,0,
0.9,0.06,1.37,4.0,4.0,0.9071926753371643,0,
0.99,0.06,1.37,4.0,4.0,0.9919604851230016,0,
0.5,0.06,1.38,4.0,4.0,0.8984261321265695,0,
0.9,0.06,1.38,4.0,4.0,0.9956331144595058,0,
0.99,0.06,1.38,4.0,4.0,0.9956331144595058,0,
0.5,0.06,1.39,4.0,4.0,0.8997589972786202,0,
0.9,0.06,1.39,4.0,4.0,0.9897033268107537,0,
0.99,0.06,1.39,6.0,6.0,1.0,0,
0.5,0.06,1.4,4.0,4.0,0.8926764520700804,0,
0.9,0.06,1.4,4.0,4.0,0.9933372743423746,0,
0.99,0.06,1.4,4.0,4.0,0.9933372743423746,0,
0.5,0.06,1.41,4.0,4.0,0.8947702057870134,0,
0.9,0.06,1.41,4.0,4.0,0.9961771232089229,0,
0.99,0.06,1.41,4.0,4.0,0.9961771232089229,0,
0.5,0.06,1.42,4.0,4.0,0.8971705180104391,0,
0.9,0.06,1.42,4.0,4.0,0.9960937499999998,0,
0.99,0.06,1.42,4.0,4.0,0.9960937499999998,0,
0.5,0.06,1.43,4.0,4.0,0.8959620003667592,0,
0.9,0.06,1.43,4.0,4.0,0.9924492253157122,0,
0.99,0.06,1.43,4.0,4.0,0.9924492253157122,0,
0.5,0.06,1.44,4.0,4.0,0.8957728582001995,0,
0.9,0.06,1.44,4.0,4.0,0.9921261495861327,0,
0.99,0.06,1.44,4.0,4.0,0.9921261495861327,0,
0.5,0.06,1.45,4.0,4.0,0.8895445574684754,0,
0.9,0.06,1.45,4.0,4.0,0.9877082514991571,0,
0.99,0.06,1.45,6.0,6.0,1.0,0,
0.5,0.06,1.46,4.0,4.0,0.8730820815071837,0,
0.9,0.06,1.46,4.0,4.0,0.9894112994116435,0,
0.99,0.06,1.46,6.0,6.0,1.0,0,
0.5,0.06,1.47,4.0,4.0,0.8650431975437674,0,
0.9,0.06,1.47,4.0,4.0,0.9922531666933505,0,
0.99,0.06,1.47,4.0,4.0,0.9922531666933505,0,
0.5,0.06,1.48,4.0,4.0,0.8876655727487457,0,
0.9,0.06,1.48,4.0,4.0,0.9906529824107705,0,
0.99,0.06,1.48,4.0,4.0,0.9906529824107705,0,
0.5,0.06,1.49,4.0,4.0,0.8848809080840778,0,
0.9,0.06,1.49,4.0,4.0,0.9889881120931338,0,
0.99,0.06,1.49,6.0,6.0,1.0,0,
0.5,0.06,1.5,4.0,4.0,0.8674749358414846,0,
0.9,0.06,1.5,4.0,4.0,0.9904513933418174,0,
0.99,0.06,1.5,4.0,4.0,0.9904513933418174,0,
0.5,0.06,1.51,4.0,4.0,0.867620930687589,0,
0.9,0.06,1.51,4.0,4.0,0.9851531067999056,0,
0.99,0.06,1.51,6.0,6.0,1.0,0,
0.5,0.06,1.52,4.0,4.0,0.8638065786638839,0,
0.9,0.06,1.52,4.0,4.0,0.9954782306141834,0,
