rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,n_units,delta_phi_energy_unit_mean,delta_phi_energy_unit_sem,phi_energy_raw_mean,phi_energy_raw_sem
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.66,30,-0.03734736051083353,0.00032801846228772813,-0.04182957900786648,0.00036046587594471685
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.67,30,-0.037770276248422,0.0004053162536437453,-0.04225249474545496,0.00046971443365089426
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.68,30,-0.037913389056624634,0.0004625646630420094,-0.04239560755365757,0.000480704853121257
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.69,30,-0.038248126807973515,0.000416060882192764,-0.04273034530500646,0.00042176700843018675
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.7,30,-0.0390642980797542,0.00040283491314988093,-0.04354651657678714,0.00045552024055042377
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.71,30,-0.039589349059180476,0.0004107796451324019,-0.04407156755621344,0.0004685600610588926
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.72,30,-0.040249642431096556,0.00041020340981945863,-0.04473186092812951,0.0004344911319865953
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.73,30,-0.03984551619058974,0.0005047333586700205,-0.044327734687622695,0.0005382219191327216
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.74,30,-0.04112783490627149,0.0002896117764564589,-0.04561005340330445,0.00034021879728682986
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.75,30,-0.04128777784719264,0.00037628426225509097,-0.0457699963442256,0.00041080464575215
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.76,30,-0.04179141766810561,0.0003428386622680291,-0.04627363616513856,0.00038749663912184733
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.77,30,-0.04267333729202005,0.00047069444233986186,-0.047155555789052984,0.00048575069318081577
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.78,30,-0.04325653539373598,0.0003909664829349644,-0.04773875389076891,0.0004288530220176521
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.79,30,-0.04350515308394483,0.0005006695947614094,-0.04798737158097779,0.0005151150021054282
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.8,30,-0.04351696705964998,0.00041789495499301515,-0.04799918555668292,0.0003597400701763406
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.81,30,-0.04425559920829423,0.00047529123963485154,-0.04873781770532719,0.0005087672741231106
