policy,cell_id,beta,dataset_tag,exact_count,selected_count,l2_mass_coverage_lambda1,mean_norm_sq,mean_theta_norm,mean_final_train_loss,mean_min_signed_margin,mean_pairwise_norm_distance
current_simple_selected10,cell_beta_0p18_p_0p00,0.18,dataset_003_seed_314234,54,10,0.03358471666013433,19914.44000887221,140.72813245515033,0.0022916237362184183,0.09055881587208658,1.4204561007913656
l2_top10_min_norm_exact,cell_beta_0p18_p_0p00,0.18,dataset_004_seed_414234,35,10,0.5751756937452005,6404.682987247774,79.81778424664206,0.018415257015480243,0.02583832186518244,1.4150808672270159
current_simple_selected10,cell_beta_0p18_p_0p00,0.18,dataset_004_seed_414234,35,10,0.10080157383796223,16290.862986488044,126.85031807018439,0.0027720202446577637,0.07275708676833373,1.4101012267490045
l2_top10_min_norm_exact,cell_beta_0p18_p_0p00,0.18,dataset_005_seed_514234,30,10,0.467394491846527,5249.964932925492,72.43446272184589,0.02179377669741813,0.04544803224390641,1.4187555027281984
current_simple_selected10,cell_beta_0p18_p_0p00,0.18,dataset_005_seed_514234,30,10,0.15306530572059854,11935.297357395162,108.14343787868242,0.003894373609653753,0.06916131632927167,1.4221624882786053
l2_top10_min_norm_exact,cell_beta_0p18_p_0p00,0.18,dataset_006_seed_614234,36,10,0.5264788315251674,6749.876705098073,81.9185047153962,0.008318035237962363,0.03826806331594955,1.4170472522904434
current_simple_selected10,cell_beta_0p18_p_0p00,0.18,dataset_006_seed_614234,36,10,0.12461260165136961,14659.637723263446,120.5432042029859,0.002695468020006828,0.01427021792294825,1.4231893176584842
l2_top10_min_norm_exact,cell_beta_0p18_p_0p00,0.18,dataset_007_seed_714234,35,10,0.48764989504302236,6083.798072254015,77.94159557832987,0.01519080014547077,0.03901252583338818,1.4196858515187851
current_simple_selected10,cell_beta_0p18_p_0p00,0.18,dataset_007_seed_714234,35,10,0.08415082272792133,16175.52830919176,126.44582977913383,0.002836673967691593,0.08569528974321028,1.4260991736695163
l2_top10_min_norm_exact,cell_beta_0p18_p_0p00,0.18,dataset_008_seed_814234,54,10,0.4120453574381241,4881.116519993176,69.72055503297548,0.011456460778396101,0.009771763533444106,1.4145034337606786
