"r","N","phi_emp","weighted_CE","weighted_err","reference_count","mean_ess_frac","q05_ess_frac","max_split_logZ_per_N_diff","fallback_unit_count","fallback_unit_fraction","min_smc_cess_fraction","max_smc_step_count"
"1.4","80","1.8345606143341882","4.898931474524492","0.33852791416377653","100","0.3907516065014118","0.25816041677543083","0.0026238934662893066","12","0.12","0.8500000000000338","4.0"
"1.45","80","1.8315163224009163","4.978596246025859","0.34698887375259607","100","0.4845812998353944","0.25539800593797357","0.001820001370046409","27","0.27","0.8500000000000187","4.0"
"1.5","80","1.825078331483259","5.066441769032957","0.35718407448894623","100","0.5929730879875847","0.2558046835904406","0.0029861932135938573","43","0.43","0.8500000000000036","4.0"
"1.55","80","1.815551462297969","5.142487482026393","0.36511415008692494","100","0.7174700964604409","0.2596477905427979","0.0025352711980332287","61","0.61","0.8500000000000059","4.0"
"1.6","80","1.8028211505152685","5.21594614293625","0.3721518892446525","100","0.8368179549135177","0.25700659082275046","0.0034153354596466734","78","0.78","0.8500000000000096","4.0"
"1.65","80","1.7867499700175788","5.30929395108661","0.3810793871944529","100","0.9030566956984125","0.2549889110854841","0.0026676571318978936","87","0.87","0.8500000000000263","4.0"
"1.7","80","1.7676013434694886","5.396215760620611","0.3894039619159432","100","0.9626078388763514","0.9624837516520675","0.002928451344403804","95","0.95","0.8500000000000043","5.0"
"1.75","80","1.745615843796776","5.468060367852438","0.39610894664725316","100","0.9777407041296398","0.999337389550389","0.0038547532318323973","97","0.97","0.8500000000000194","5.0"
"1.8","80","1.7204827338099782","5.543776880149648","0.4020861040458877","100","0.991696630236696","0.9951445327152931","0.003671684461404112","99","0.99","0.8500000000000029","5.0"
"1.85","80","1.6923456075657768","5.626370474695511","0.4088685476207724","100","0.9991574954699147","0.9961777529122764","0.0011253551615894252","100","1.0","0.8500000000000323","5.0"
"1.9","80","1.6613062707879127","5.7086296272473485","0.4152437530902136","100","0.9966845926358998","0.9815854965674927","0.003060023455257621","100","1.0","0.8500000000000156","5.0"
"1.95","80","1.6272015834948048","5.798054138761118","0.42270370491313797","100","0.9926813647169815","0.9650322932519311","0.0033381088137897307","100","1.0","0.8500000000000089","5.0"
"2.0","80","1.5901970432217414","5.876619536893659","0.4275032561645157","100","0.9887162356242505","0.9578644683874635","0.0012451319552678087","100","1.0","0.8500000000000345","5.0"
"2.05","80","1.550350621896477","5.955484217042462","0.43280940828082526","100","0.9812843075679052","0.9403704658337607","0.001011744381309221","100","1.0","0.8500000000000066","5.0"
"2.1","80","1.5075658071312672","6.043457653320316","0.4386349714405334","100","0.9725159394982041","0.9227852494750619","0.0011240013497358704","100","1.0","0.850000000000027","6.0"
"2.15","80","1.461967110614123","6.128003405145279","0.4442780759333377","100","0.9636753526447559","0.9069203095265198","0.0010413169950009404","100","1.0","0.850000000000018","6.0"
"2.2","80","1.4135792204717479","6.20499110740553","0.4486016334653271","100","0.9516286589771279","0.8839108420913125","0.0013474639710002734","100","1.0","0.8500000000000036","6.0"
"0.15","160","0.0","6.7251379333145875","0.04664683705411295","100","0.9608880959620574","0.9508333601859856","0.00010306956664849488","0","0.0","nan","nan"
"0.2","160","0.28530681287342236","6.772327988308988","0.060609488538724055","100","0.9324935291260613","0.9156179149514104","0.00018967539723308002","0","0.0","nan","nan"
"0.25","160","0.5061170707641911","6.833451138964184","0.07395881216902861","100","0.8979534511841059","0.8723367817390837","0.0002704690470439086","0","0.0","nan","nan"
"0.3","160","0.6858958988906213","6.905257204222832","0.08689155989501801","100","0.8587973967657689","0.8253639368146054","0.00026372394500999706","0","0.0","nan","nan"
"0.35","160","0.8370865657238443","6.987766787773901","0.10018871063728739","100","0.8168810601143024","0.7792820501372785","0.0003119506584718434","0","0.0","nan","nan"
"0.4","160","0.9670819624865178","7.075468687556325","0.11240950625532786","100","0.7706276805885952","0.7246914251442815","0.0004702653904855192","0","0.0","nan","nan"
"0.45","160","1.0805713723524906","7.172992389534395","0.1246201806138808","100","0.7238588839423821","0.6665292753907424","0.00048770704461447155","0","0.0","nan","nan"
"0.5","160","1.180742344033747","7.277830412008533","0.13688096081779647","100","0.6758310367796967","0.6086062017876089","0.0005038387562666391","0","0.0","nan","nan"
"0.55","160","1.2698305095867881","7.390497239432554","0.14878566787811953","100","0.6277040034251239","0.5586402440862628","0.0004372863251756121","0","0.0","nan","nan"
"0.6","160","1.3495290525021917","7.495776951351893","0.16033075383979123","100","0.5755010481657574","0.5056810306630638","0.0006728221377065192","0","0.0","nan","nan"
"0.65","160","1.4209315469253736","7.626810120374177","0.17297185775861254","100","0.5360868395206552","0.4617887717868617","0.0008630949515836984","0","0.0","nan","nan"
