eta,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sem,d_phi_energy_raw_dd_mean,d_phi_energy_raw_dd_sem,d2_phi_energy_raw_dd2_mean,d2_phi_energy_raw_dd2_sem,positive_curvature_mean
0.05,0.33,30,-0.05266476462763299,0.0005971916023758167,-0.11590371408630758,0.027010304943267588,3.4286817536487875,2.285130180171363,6.736778383528209
0.05,0.34,30,-0.05341558833968271,0.0005685012049423324,-0.14877569702800622,0.03056854898542304,-4.837483804720327,2.544813187674157,2.6914826189447845
0.05,0.35,30,-0.055640278568193084,0.0005655980436744901,-0.21265339018071375,0.03175500989132499,1.4334198541078067,2.6083127249220595,6.720241850710944
0.05,0.36,30,-0.057668656143296984,0.0005987128106190944,-0.12010729994584932,0.031334205758678804,4.991454601347083,2.97116684033886,9.334672486638317
0.05,0.37,30,-0.058042424567110076,0.0007631520711579543,-0.112824298153772,0.03363511912719937,0.3820019869713866,2.9725658928566516,6.553011346910895
0.05,0.38,30,-0.05992514210637241,0.0006560681472349165,-0.11246726020642159,0.033052868885458386,-0.7185548044731234,2.5224661932336265,5.543759955587787
0.05,0.39,30,-0.06029176977123851,0.0004332830664276913,-0.12719539424323448,0.023100363580446166,-2.3580252137205098,2.4675771183392317,4.211192493379165
0.05,0.4,30,-0.06246904999123712,0.000546413038126517,-0.15962776448083182,0.02543923066417524,2.503551624000887,2.0336104435495597,5.948525663158006
0.05,0.41,30,-0.06348432506085513,0.0006069392728610121,-0.07712436176321745,0.028286553459863438,3.1334277355397604,2.2945622488725204,6.674703528333748
0.05,0.42,30,-0.06401153722650146,0.0006493775934154568,-0.09695920977003732,0.02814927658811162,-3.0728045317742043,2.612878264602644,4.262269588157048
0.05,0.43,30,-0.06542350925625588,0.0006052745811594101,-0.13858045239870162,0.029375504479669884,0.7101181509348841,2.345759716243289,5.373227674606633
0.05,0.44,30,-0.0667831462744755,0.0005607799809048023,-0.08275684675133961,0.028281572592878307,2.559584102174703,2.1195179464477794,6.095350164688563
0.05,0.45,30,-0.06707864619128268,0.0006682368935328767,-0.08738877035520749,0.026027634510673622,-0.5677320646436191,2.555707730205217,5.2432419500267615
0.05,0.46,30,-0.06853092168157965,0.0006361249682426684,-0.094111488044212,0.029654542628167205,0.1450292233539035,2.311384097231399,5.006973812299232
0.05,0.47,30,-0.06896087595216692,0.0005863954496073598,-0.08448818588812951,0.02787150536464985,-1.6822234649548105,2.3692576690229994,4.324948334546758
0.05,0.48,30,-0.07022068539934226,0.0006713898273166579,-0.12775595734330847,0.02650830776203208,0.6903513403196985,2.540280276540452,5.717986767165535
0.05,0.49,30,-0.0715159950990331,0.0005648737926133669,-0.07068115908173553,0.032709543678568626,4.261600512056274,2.5429401780011363,7.532664355819198
0.05,0.5,30,-0.07163430858097697,0.0005255307077388612,-0.04252394710218291,0.03038171754080147,0.3529340077716891,2.431974002185484,5.572886980897687
0.05,0.51,30,-0.07236647404107674,0.0006029262540140289,-0.06362247892630174,0.02513647399219226,-3.01539734263389,2.6109792385110935,4.174041023562369
0.05,0.52,30,-0.07290675815950301,0.0006513192871478485,-0.10283189395486075,0.03158647298700662,-0.8006307003963218,2.1087476068246245,4.306071551437572
0.05,0.53,30,-0.07442311192017396,0.0006509973901817125,-0.0796350929342282,0.025695588292776957,1.6165619717058513,2.7392677762063298,6.44163981561285
0.05,0.54,30,-0.07449946001818757,0.00044147680262883286,-0.0705006545207437,0.030738996057290094,-0.6221029881872232,2.421353766158879,5.148866874078404
