beta,radius,finite_reference_coverage_pass,ess_pass,ess_fraction_pass,split_pass,bootstrap_pass,smc_completed_pass,smc_cess_pass,smc_steps_pass,claim,finite_ref_count,finite_ref_min,aggregate_ref_level_ess,aggregate_ref_level_ess_min,q05_ess_fraction,q05_ess_fraction_min,max_split_logZ_per_P_diff,max_split_logZ_per_P_diff_allowed,bootstrap_sd_phi,bootstrap_sd_phi_max,min_smc_cess_fraction,min_smc_cess_fraction_allowed,max_smc_step_count,max_smc_step_count_allowed
0.06,0.73,True,True,True,True,True,True,True,True,pass,100,100,98786.29750933597,25600.0,0.8388246224797687,0.2,0.00010405229111675977,0.004,9.987652139790442e-05,0.012,0.750000000000569,0.6,4.0,120.0
0.06,0.74,True,True,True,True,True,True,True,True,pass,100,100,98736.47959329309,25600.0,0.8291331151363334,0.2,9.953957561347603e-05,0.004,9.875126083864268e-05,0.012,0.7500000000010213,0.6,4.0,120.0
0.06,0.75,True,True,True,True,True,True,True,True,pass,100,100,98258.53873172552,25600.0,0.8181615401884438,0.2,0.0001514904068932761,0.004,0.00010256475687347415,0.012,0.7500000000015595,0.6,4.0,120.0
0.06,0.76,True,True,True,True,True,True,True,True,pass,100,100,98482.983155094,25600.0,0.8412049402022723,0.2,0.0001153472568180554,0.004,0.0001034039150548556,0.012,0.750000000000196,0.6,4.0,120.0
0.06,0.77,True,True,True,True,True,True,True,True,pass,100,100,98258.57137951559,25600.0,0.829442837647154,0.2,0.00010317521681639893,0.004,0.0001008280789001321,0.012,0.750000000000174,0.6,4.0,120.0
0.06,0.78,True,True,True,True,True,True,True,True,pass,100,100,98589.82881761268,25600.0,0.8398792254643282,0.2,0.00010809217859444627,0.004,9.653592091467785e-05,0.012,0.7500000000009067,0.6,4.0,120.0
0.06,0.79,True,True,True,True,True,True,True,True,pass,100,100,98099.9291527488,25600.0,0.8120179055974933,0.2,0.0001332915883133646,0.004,0.00010484877714484308,0.012,0.7500000000005217,0.6,4.0,120.0
0.06,0.8,True,True,True,True,True,True,True,True,pass,100,100,98243.92527842631,25600.0,0.809904347021956,0.2,0.00011205627243080518,0.004,0.00010464613746463663,0.012,0.7500000000000581,0.6,4.0,120.0
0.06,0.81,True,True,True,True,True,True,True,True,pass,100,100,97569.25857307069,25600.0,0.7998656598144285,0.2,0.00011404452509216404,0.004,9.641324347712248e-05,0.012,0.750000000000082,0.6,4.0,120.0
0.06,0.82,True,True,True,True,True,True,True,True,pass,100,100,97533.59042411573,25600.0,0.8271201171062427,0.2,0.0001166718991455627,0.004,0.00010060927019558075,0.012,0.750000000000908,0.6,4.0,120.0
