rule,ref_id,radius,phi_energy_raw
very_low_tv_spectral_teacher,6,0.55,-0.0377178975425017
very_low_tv_spectral_teacher,6,0.6,-0.0394104925769151
very_low_tv_spectral_teacher,6,0.65,-0.044225330957199
very_low_tv_spectral_teacher,6,0.7,-0.0428543122082099
very_low_tv_spectral_teacher,6,0.75,-0.0440079708812597
very_low_tv_spectral_teacher,6,0.8,-0.0454315704010662
very_low_tv_spectral_teacher,6,0.85,-0.0519504834872372
very_low_tv_spectral_teacher,6,0.9,-0.0534510834521602
very_low_tv_spectral_teacher,6,0.95,-0.0533866079063772
very_low_tv_spectral_teacher,6,1.0,-0.0566244266244192
very_low_tv_spectral_teacher,6,1.05,-0.056568872979873
very_low_tv_spectral_teacher,6,1.1,-0.0590101025933297
very_low_tv_spectral_teacher,6,1.15,-0.0611820774791285
very_low_tv_spectral_teacher,6,1.2,-0.0649953482111223
very_low_tv_spectral_teacher,6,1.25,-0.0697478034967707
very_low_tv_spectral_teacher,6,1.3,-0.0631689380017854
very_low_tv_spectral_teacher,6,1.35,-0.0718795633068641
very_low_tv_spectral_teacher,6,1.4,-0.076511548959299
very_low_tv_spectral_teacher,6,1.45,-0.0683996389042598
very_low_tv_spectral_teacher,6,1.5,-0.0663240873064159
very_low_tv_spectral_teacher,6,1.55,-0.0720761381643979
very_low_tv_spectral_teacher,6,1.6,-0.0706521256181346
very_low_tv_spectral_teacher,6,1.65,-0.0851125659613396
very_low_tv_spectral_teacher,6,1.7,-0.0762643128857944
very_low_tv_spectral_teacher,6,1.75,-0.0735600524448458
very_low_tv_spectral_teacher,6,1.8,-0.0800788341452125
very_low_tv_spectral_teacher,6,1.85,-0.0785907619281432
very_low_tv_spectral_teacher,6,1.9,-0.0845667159354794
very_low_tv_spectral_teacher,6,1.95,-0.0915733669710162
very_low_tv_spectral_teacher,6,2.0,-0.0879547820039188
very_low_tv_spectral_teacher,6,2.05,-0.0883627063608117
very_low_tv_spectral_teacher,6,2.1,-0.0839969244678181
very_low_tv_spectral_teacher,6,2.15,-0.0843525668105468
very_low_tv_spectral_teacher,6,2.2,-0.0942868081109455
very_low_tv_spectral_teacher,6,2.25,-0.0938163783507844
very_low_tv_spectral_teacher,6,2.3,-0.09996149577979
very_low_tv_spectral_teacher,6,2.35,-0.0906378495135204
very_low_tv_spectral_teacher,6,2.4,-0.0910929464764681
very_low_tv_spectral_teacher,6,2.45,-0.101908660007017
very_low_tv_spectral_teacher,6,2.5,-0.0947849667068147
very_low_tv_spectral_teacher,7,0.1,-0.0053373122527862
very_low_tv_spectral_teacher,7,0.15,-0.0098849844918222
very_low_tv_spectral_teacher,7,0.2,-0.0149477952262163
very_low_tv_spectral_teacher,7,0.25,-0.0192295741710463
very_low_tv_spectral_teacher,7,0.3,-0.0230271746641881
very_low_tv_spectral_teacher,7,0.35,-0.0283019396742925
very_low_tv_spectral_teacher,7,0.4,-0.0301842952754303
very_low_tv_spectral_teacher,7,0.45,-0.0345122400945581
very_low_tv_spectral_teacher,7,0.5,-0.0344142503521802
very_low_tv_spectral_teacher,7,0.55,-0.0378472653192342
very_low_tv_spectral_teacher,7,0.6,-0.0409771396578735
very_low_tv_spectral_teacher,7,0.65,-0.0425046663270262
very_low_tv_spectral_teacher,7,0.7,-0.0480828578746521
very_low_tv_spectral_teacher,7,0.75,-0.0466805148631415
very_low_tv_spectral_teacher,7,0.8,-0.0466624324543912
very_low_tv_spectral_teacher,7,0.85,-0.0507089492248994
very_low_tv_spectral_teacher,7,0.9,-0.053844389314697
very_low_tv_spectral_teacher,7,0.95,-0.0589917916369138
very_low_tv_spectral_teacher,7,1.0,-0.0576457925749832
very_low_tv_spectral_teacher,7,1.05,-0.0630741221595966
very_low_tv_spectral_teacher,7,1.1,-0.0649136277210951
very_low_tv_spectral_teacher,7,1.15,-0.0666985912865124
very_low_tv_spectral_teacher,7,1.2,-0.064144079014318
very_low_tv_spectral_teacher,7,1.25,-0.0708627822914448
very_low_tv_spectral_teacher,7,1.3,-0.0646888731534697
very_low_tv_spectral_teacher,7,1.35,-0.070577813551868
very_low_tv_spectral_teacher,7,1.4,-0.0660234902473836
very_low_tv_spectral_teacher,7,1.45,-0.0783237981991736
very_low_tv_spectral_teacher,7,1.5,-0.0751418971176366
very_low_tv_spectral_teacher,7,1.55,-0.075063529081773
very_low_tv_spectral_teacher,7,1.6,-0.0819064133734243
very_low_tv_spectral_teacher,7,1.65,-0.0834551949717609
very_low_tv_spectral_teacher,7,1.7,-0.0796508761787319
very_low_tv_spectral_teacher,7,1.75,-0.0805641793670684
very_low_tv_spectral_teacher,7,1.8,-0.089693954065634
very_low_tv_spectral_teacher,7,1.85,-0.0852051784656925
very_low_tv_spectral_teacher,7,1.9,-0.0873425847473126
very_low_tv_spectral_teacher,7,1.95,-0.0825115577910772
very_low_tv_spectral_teacher,7,2.0,-0.0939233496183841
very_low_tv_spectral_teacher,7,2.05,-0.0984449823701621
very_low_tv_spectral_teacher,7,2.1,-0.0884410175450525
very_low_tv_spectral_teacher,7,2.15,-0.0889385634523203
very_low_tv_spectral_teacher,7,2.2,-0.0956965278071442
very_low_tv_spectral_teacher,7,2.25,-0.101628538574203
very_low_tv_spectral_teacher,7,2.3,-0.1008002660402086
very_low_tv_spectral_teacher,7,2.35,-0.0991881221494109
very_low_tv_spectral_teacher,7,2.4,-0.0923477459919809
