run,cell_id,dataset_id,seed,beta,dataset_path,n_points,input_dim,label_mean,label_abs_mean,knn_k,knn_edge_count,knn_edge_agreement,knn_edge_disagreement,knn_label_autocorrelation,feature_label_linear_signal
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,48,4801234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_048_seed_4801234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2962.0,0.5097906819716408,0.4902093180283592,0.019581363943281565,0.03801878604324603
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,49,4901234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_049_seed_4901234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2938.0,0.5289312457454051,0.47106875425459493,0.057862491490810075,0.0882819275506727
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,50,5001234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_050_seed_5001234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2967.0,0.502190765082575,0.497809234917425,0.004381530165149983,0.1471520244532875
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,51,5101234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_051_seed_5101234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2959.0,0.5028725920919229,0.4971274079080771,0.005745184183845894,0.0659995758493819
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,52,5201234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_052_seed_5201234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2922.0,0.528747433264887,0.47125256673511295,0.057494866529774126,0.07167953362614916
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,53,5301234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_053_seed_5301234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2979.0,0.5186304128902316,0.4813695871097684,0.03726082578046324,0.019460170150587763
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,54,5401234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_054_seed_5401234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2970.0,0.5104377104377105,0.48956228956228953,0.020875420875420877,0.10751647301467358
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,55,5501234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_055_seed_5501234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2995.0,0.5148580968280467,0.48514190317195327,0.02971619365609349,0.14259648122890234
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,56,5601234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_056_seed_5601234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2953.0,0.5079580088046055,0.4920419911953945,0.01591601760921097,0.0958740764493559
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,57,5701234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_057_seed_5701234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2982.0,0.5137491616364855,0.48625083836351446,0.02749832327297116,0.0622315769116311
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,58,5801234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_058_seed_5801234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2954.0,0.51354096140826,0.48645903859174,0.027081922816519974,0.08874139795123577
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,59,5901234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_059_seed_5901234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2960.0,0.525,0.475,0.05,0.0491451631995913
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,60,6001234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_060_seed_6001234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2959.0,0.5376816492058127,0.46231835079418726,0.07536329841162555,0.03315147482749456
