cell_id,series,dataset_id,seed,beta_ising,rewire_p,C,sigma_med,n_edges
cell_beta_0p12_p_0p00,beta,10,1008234,0.12,0.0,0.3847882891275761,0.1126823627261392,2161
cell_beta_0p12_p_0p00,beta,11,1108234,0.12,0.0,0.36669923956398776,0.11515733292620756,2168
cell_beta_0p12_p_0p00,beta,12,1208234,0.12,0.0,0.39916445591359234,0.11238377773957604,2170
cell_beta_0p12_p_0p00,beta,13,1308234,0.12,0.0,0.3617586678624788,0.11578972122889727,2165
cell_beta_0p12_p_0p00,beta,14,1408234,0.12,0.0,0.3516406980266299,0.11768305723118616,2200
cell_beta_0p12_p_0p00,beta,15,1508234,0.12,0.0,0.3755554131632319,0.1132679190199721,2166
cell_beta_0p12_p_0p00,beta,16,1608234,0.12,0.0,0.38069465197829927,0.11256665060365964,2163
cell_beta_0p12_p_0p00,beta,17,1708234,0.12,0.0,0.32176365091511705,0.11352619483599523,2168
cell_beta_0p12_p_0p00,beta,18,1808234,0.12,0.0,0.41290453711167163,0.11494099191825699,2147
cell_beta_0p12_p_0p00,beta,19,1908234,0.12,0.0,0.3588127569990955,0.1136873857990652,2167
cell_beta_0p12_p_0p00,beta,20,2008234,0.12,0.0,0.41608764954519606,0.11363705874528435,2096
cell_beta_0p12_p_0p00,beta,21,2108234,0.12,0.0,0.40460964993036286,0.11445260817757706,2152
cell_beta_0p12_p_0p00,beta,22,2208234,0.12,0.0,0.33207118397857815,0.11554447464503681,2184
cell_beta_0p12_p_0p00,beta,23,2308234,0.12,0.0,0.38092242615372673,0.11521664440371496,2152
cell_beta_0p12_p_0p00,beta,24,2408234,0.12,0.0,0.3287307200350037,0.1138070019861083,2137
cell_beta_0p12_p_0p00,beta,25,2508234,0.12,0.0,0.3532981337204455,0.11596996981528018,2160
cell_beta_0p12_p_0p00,beta,26,2608234,0.12,0.0,0.42361614366517875,0.11128742520658533,2111
cell_beta_0p12_p_0p00,beta,27,2708234,0.12,0.0,0.3455525144445925,0.11498531073837247,2170
cell_beta_0p12_p_0p00,beta,28,2808234,0.12,0.0,0.3624128655872292,0.11444945046054694,2139
cell_beta_0p12_p_0p00,beta,29,2908234,0.12,0.0,0.3488771128741187,0.11401462579838073,2146
