eta,ref_id,n_radii,d_min,d_max,positive_curvature_mass,min_curvature,min_curvature_radius,max_curvature,max_curvature_radius
0.25,39,19,0.1,1.0,0.5934361812887592,-0.7759660220736277,0.1,3.1406948376013277,0.3
0.25,40,19,0.1,1.0,0.6530835954126072,-1.4593975182438106,0.6,3.036587390575707,0.35
0.25,41,19,0.1,1.0,0.612387819069897,-2.340693245612612,1.0,3.608451462350464,0.3
0.25,42,19,0.1,1.0,0.8789397982966787,-1.2995700678100686,0.7,3.275705222355817,0.35
0.25,43,19,0.1,1.0,0.5728642881609798,-1.163312100616978,0.75,3.0673955066152123,0.25
0.25,44,19,0.1,1.0,0.5719788295074595,-2.5616441744143232,0.1,3.612576883299531,0.3
0.25,45,19,0.1,1.0,0.737095493969349,-0.8044304231807633,0.55,3.005277790301794,0.3
0.25,46,19,0.1,1.0,0.7594456929171776,-1.221408776639253,0.75,3.1191551419687498,0.3
0.25,47,19,0.1,1.0,0.6027319536539708,-1.1306169159166581,0.1,2.462441645332784,0.35
0.25,48,19,0.1,1.0,0.5820623912030112,-1.859466709706185,0.1,4.386620751527739,0.3
0.25,49,19,0.1,1.0,0.5742471110533711,-1.5813331606365704,1.0,2.222664951832447,0.35
0.25,50,19,0.1,1.0,0.7018898835073766,-1.317718378668523,0.8,3.4927931848612346,0.3
0.25,51,19,0.1,1.0,0.7920069985540197,-1.6394254647681994,0.4,5.200487700578573,0.3
0.25,52,19,0.1,1.0,0.6883562905813493,-1.5945150625757907,0.5,2.6252634792435345,0.25
0.25,53,19,0.1,1.0,0.5888313132052049,-0.6998118527979565,0.85,2.904038320039258,0.3
0.25,54,19,0.1,1.0,0.6620877596565449,-1.5655782648426246,0.15,3.3739964433074423,0.3
0.25,55,19,0.1,1.0,0.9033058798978785,-1.3096269410303087,0.1,3.916373969440896,0.3
0.25,56,19,0.1,1.0,0.6096746001073844,-1.1401813712140187,0.1,3.3446991856965296,0.25
0.25,57,19,0.1,1.0,0.5356154041737362,-1.4579859676055842,0.1,3.0510166242472208,0.3
0.25,58,19,0.1,1.0,0.7612099234243759,-1.5846158571831115,0.55,4.576404131096835,0.3
0.25,59,19,0.1,1.0,0.6928400976684624,-2.2490690990015656,0.1,2.872643170808672,0.35
0.25,60,19,0.1,1.0,0.7130106744515688,-1.0865395118194348,0.6,3.1381131462116447,0.3
0.25,61,19,0.1,1.0,0.6694905268806777,-1.4056091925262808,1.0,3.389420088805842,0.35
0.25,62,19,0.1,1.0,0.6542190549343609,-1.7047819661997863,1.0,4.239449900442857,0.3
0.25,63,19,0.1,1.0,0.6348790719859417,-0.7055709411308169,0.8,2.5131506309299922,0.4
0.25,64,19,0.1,1.0,0.6580012549951173,-1.5935025915622507,0.1,3.2107965453668856,0.35
0.25,65,19,0.1,1.0,0.6726972111538942,-1.4110036371717196,0.1,2.7430928399498433,0.35
0.25,66,19,0.1,1.0,0.5678982476612027,-1.2538407402833545,0.95,3.5339064727863767,0.3
0.25,67,19,0.1,1.0,0.6276432472372223,-0.8085353197159186,0.85,2.139816109966825,0.3
0.25,68,19,0.1,1.0,0.6689144942038054,-1.1681815909348603,0.45,4.857635305699714,0.35
0.25,69,19,0.1,1.0,0.5804570375706177,-0.5756077269731414,1.0,2.574508418447122,0.3
0.25,70,19,0.1,1.0,0.6113025095785323,-1.092443009382876,0.15,3.7976618124595043,0.25
0.25,71,19,0.1,1.0,0.7109533843374682,-0.9523165119192378,0.65,2.51080904057654,0.25
0.25,72,19,0.1,1.0,0.7090675872790779,-1.024922517944815,0.55,4.039442052648214,0.25
0.25,73,19,0.1,1.0,0.6566284047822223,-1.8503709214257484,0.1,3.342421677599586,0.3
0.25,74,19,0.1,1.0,0.6195990297223707,-2.117992145335214,1.0,3.099272138530066,0.4
0.25,75,19,0.1,1.0,0.616189624505356,-1.8918990405301355,0.1,3.4062201832446943,0.3
0.25,76,19,0.1,1.0,0.6337912654051499,-1.8554215797899791,0.1,3.1128829199252985,0.25
0.25,77,19,0.1,1.0,0.7310794709716206,-2.5539821810971937,0.1,2.8664566873824935,0.3
0.25,78,19,0.1,1.0,0.5671792245887661,-1.0233947982894822,0.1,2.060611666829992,0.3
0.25,79,19,0.1,1.0,0.6015059871237006,-1.2660388478541371,0.15,3.4573740408944036,0.25
0.25,80,19,0.1,1.0,0.7118036936224756,-1.1613842180436107,0.15,4.053085730224316,0.3
0.25,81,19,0.1,1.0,0.7037733499672777,-2.2110395230396156,0.1,3.0538184857038626,0.25
0.25,82,19,0.1,1.0,0.769436173558014,-2.60890155436929,0.1,2.896964479144194,0.35
0.25,83,19,0.1,1.0,0.648991433471263,-1.3389355646601309,0.7,3.5459199352843767,0.35
0.25,84,19,0.1,1.0,0.7573749792782589,-1.3927659059963762,0.1,3.5202321946854864,0.35
0.25,85,19,0.1,1.0,0.6532835673225263,-1.9557147271788444,1.0,3.5343819410190735,0.25
0.25,86,19,0.1,1.0,0.6958231055300627,-1.128463214342408,0.75,3.477344141982852,0.35
0.25,87,19,0.1,1.0,0.6478894063775164,-0.7222254221117828,0.2,4.664242038630951,0.3
0.25,88,19,0.1,1.0,0.778106672129121,-0.947783961845932,0.7,2.966117682976359,0.3
0.25,89,19,0.1,1.0,0.5824412281902234,-1.0947455474859316,0.1,2.0640209001361445,0.2
0.3,0,19,0.1,1.0,0.7695987420271441,-0.7829773620011555,0.85,4.502377912293787,0.25
0.3,1,19,0.1,1.0,0.6260744372662004,-1.5644743828858223,0.15,3.4440246204354628,0.3
0.3,2,19,0.1,1.0,0.6529798140555129,-1.6449681179534803,0.55,2.774360954164455,0.45
0.3,3,19,0.1,1.0,0.6195233906835084,-0.5791234658978618,0.7,3.007376996457216,0.35
0.3,4,19,0.1,1.0,0.7569142471937875,-1.084452264739585,0.65,3.1717714069507434,1.0
0.3,5,19,0.1,1.0,0.702438730454167,-0.7452306164441491,0.55,2.2342168889908147,0.45
0.3,6,19,0.1,1.0,0.6320079072370725,-0.9299655633402251,0.1,3.0067455946923167,0.25
0.3,7,19,0.1,1.0,0.6376590519040938,-1.2014604784328196,0.15,4.08518862215539,0.3
