beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.3,0.09,100,-0.10531561650714695,3.500126845334488e-06,-0.10531561650714695,3.5001268453344887e-06,-8.470329472543003e-22,-0.10531911663399228,pass
0.3,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,pass
0.34,0.01,100,-2.301657809279709,2.2535151274417523e-05,-2.301657809279709,2.253515127441752e-05,3.3881317890172014e-21,-2.3016803444309835,pass
0.34,0.02,100,-1.6087835986591872,2.192166786660736e-05,-1.6087835986591872,2.1921667866607364e-05,-3.3881317890172014e-21,-1.6088055203270537,pass
0.34,0.03,100,-1.2034789060182274,2.0824514260270563e-05,-1.2034789060182274,2.0824514260270563e-05,0.0,-1.2034997305324877,pass
0.34,0.04,100,-0.9159114782162976,1.9218006826327902e-05,-0.9159114782162976,1.92180068263279e-05,3.3881317890172014e-21,-0.915930696223124,pass
0.34,0.05,100,-0.6928577419026026,1.708220132690464e-05,-0.6928577419026026,1.7082201326904648e-05,-6.776263578034403e-21,-0.6928748241039295,pass
0.34,0.06,100,-0.5106104079543101,1.4498474247999076e-05,-0.5106104079543101,1.4498474247999081e-05,-5.082197683525802e-21,-0.5106249064285581,pass
0.34,0.07,100,-0.3565234225081615,1.137410485810301e-05,-0.3565234225081615,1.1374104858103013e-05,-3.3881317890172014e-21,-0.3565347966130196,pass
0.34,0.08,100,-0.22304790230896449,7.969810229931649e-06,-0.22304790230896449,7.969810229931649e-06,0.0,-0.22305587211919442,pass
0.34,0.09,100,-0.10531501279059914,4.103843393140306e-06,-0.10531501279059914,4.1038433931403065e-06,-8.470329472543003e-22,-0.10531911663399228,pass
0.34,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,pass
0.38,0.01,100,-2.3016575720424783,2.2772388505338643e-05,-2.3016575720424783,2.2772388505338643e-05,0.0,-2.3016803444309835,pass
0.38,0.02,100,-1.608783312114889,2.2208212164851217e-05,-1.608783312114889,2.220821216485122e-05,-3.3881317890172014e-21,-1.6088055203270537,pass
0.38,0.03,100,-1.2034785622367266,2.1168295761108548e-05,-1.2034785622367266,2.1168295761108548e-05,0.0,-1.2034997305324877,pass
0.38,0.04,100,-0.915911080035369,1.9616187754907084e-05,-0.915911080035369,1.9616187754907084e-05,0.0,-0.915930696223124,pass
0.38,0.05,100,-0.6928572758391457,1.754826478380316e-05,-0.6928572758391457,1.754826478380316e-05,0.0,-0.6928748241039295,pass
0.38,0.06,100,-0.5106099402012612,1.4966227296854978e-05,-0.5106099402012612,1.4966227296854978e-05,0.0,-0.5106249064285581,pass
0.38,0.07,100,-0.3565228780749722,1.191853804743171e-05,-0.3565228780749722,1.1918538047431712e-05,-1.6940658945086007e-21,-0.3565347966130196,pass
0.38,0.08,100,-0.22304746174123208,8.410377962345216e-06,-0.22304746174123208,8.410377962345218e-06,-1.6940658945086007e-21,-0.22305587211919442,pass
0.38,0.09,100,-0.10531470748004458,4.409153947702456e-06,-0.10531470748004458,4.409153947702457e-06,-8.470329472543003e-22,-0.10531911663399228,pass
0.38,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,pass
