beta,radius,ref_count,dataset_count,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr_std,dphi_full_dr_unit_sem,dphi_full_dr_dataset_mean_std,dphi_full_dr_sem,dphi_full_dr_ci95_half_width,dphi_full_dr_ci95_low,dphi_full_dr_ci95_high,dphi_energy_dr_std,dphi_energy_dr_unit_sem,dphi_energy_dr_dataset_mean_std,dphi_energy_dr_sem,dphi_energy_dr_ci95_half_width,dphi_energy_dr_ci95_low,dphi_energy_dr_ci95_high,uncertainty_method,claim
0.05,0.39,900,30,2.5556933084872586,-0.0074017496962078015,2.5630950581834666,-18.837452976848855,4.799503249012981,0.0018858558935218013,6.286186311739337e-05,0.0006115685695894011,0.0001116566336750943,0.00022833781586556785,2.555464970671393,2.555921646303124,0.0018858558935218003,6.286186311739335e-05,0.0006115685695895607,0.00011165663367512344,0.00022833781586562742,-0.007630087512073429,-0.007173411880342174,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.4,900,30,2.4917298010178426,-0.00728788071103787,2.4990176817288803,-18.54765640959138,4.747374426289962,0.0018653730555166976,6.217910185055658e-05,0.0006063535773049405,0.00011070451070462283,0.00022639072439095367,2.4915034102934515,2.4919561917422337,0.0018653730555166846,6.217910185055615e-05,0.0006063535773048786,0.00011070451070461152,0.00022639072439093055,-0.007514271435428801,-0.007061489986646939,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.41,900,30,2.430880487494317,-0.007185543460687962,2.438066030955005,-18.287208107450862,4.704020090213047,0.0018483379529324374,6.161126509774792e-05,0.0005976266108160659,0.00010911119190310672,0.00022313238744185322,2.430657355106875,2.431103619881759,0.0018483379529324348,6.161126509774782e-05,0.0005976266108161056,0.00010911119190311397,0.00022313238744186808,-0.007408675848129829,-0.006962411073246094,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.42,900,30,2.3729431013942404,-0.007073738347550932,2.380016839741791,-18.002664094517122,4.604282419086192,0.001809148298265695,6.0304943275523165e-05,0.000588729882651152,0.00010748687900180176,0.0002198106675586846,2.3727232907266815,2.373162912061799,0.0018091482982656945,6.030494327552315e-05,0.0005887298826512435,0.00010748687900181847,0.00021981066755871875,-0.00729354901510965,-0.006853927679992214,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.43,900,30,2.317702966138362,-0.006964644772224379,2.3246676109105864,-17.725020945311044,4.542403377199056,0.0017848343328876453,5.949447776292151e-05,0.0005793053592081098,0.00010576620430730494,0.0002162918878084386,2.3174866742505533,2.3179192580261705,0.001784834332887645,5.94944777629215e-05,0.0005793053592080317,0.00010576620430729068,0.00021629188780840944,-0.007180936660032789,-0.006748352884415969,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.44,900,30,2.2649743276131087,-0.006859928504055508,2.271834256117164,-17.458518042821268,4.468405781296345,0.0017557586566979795,5.8525288556599316e-05,0.0005723150569166403,0.00010448995555769899,0.00021368195911549443,2.2647606456539933,2.265188009572224,0.0017557586566979745,5.852528855659915e-05,0.0005723150569166638,0.00010448995555770326,0.00021368195911550315,-0.007073610463171011,-0.006646246544940004,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.45,900,30,2.214591993299777,-0.006757057125894053,2.221349050425671,-17.196710385400365,4.401769224432678,0.0017295753337652957,5.765251112550985e-05,0.0005605558979189858,0.00010234303667759724,0.00020929151000568635,2.2143827017897713,2.214801284809783,0.0017295753337652957,5.765251112550985e-05,0.0005605558979189969,0.00010234303667759926,0.0002092915100056905,-0.006966348635899744,-0.0065477656158883625,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.46,900,30,2.16640326369069,-0.006655589986596894,2.173058853677287,-16.938476515889096,4.321651832225184,0.0016980950224853404,5.6603167416178014e-05,0.000550048877378041,0.00010042472595678205,0.00020536856458161927,2.1661978951261083,2.166608632255272,0.0016980950224853373,5.660316741617791e-05,0.0005500488773780316,0.00010042472595678033,0.00020536856458161577,-0.00686095855117851,-0.0064502214220152785,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.47,900,30,2.1202664922582346,-0.006557066659961444,2.126823558918196,-16.687734649601875,4.272910220411761,0.001678943112146085,5.59647704048695e-05,0.0005483334443887214,0.00010011153217540241,0.00020472808329869793,2.120061764174936,2.1204712203415332,0.0016789431121460752,5.596477040486917e-05,0.0005483334443886411,0.00010011153217538777,0.00020472808329866798,-0.006761794743260112,-0.0063523385766627765,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.48,900,30,2.0760529199197033,-0.00646181485436375,2.082514734774067,-16.445318804355743,4.199679110470245,0.0016501686092221014,5.500562030740338e-05,0.0005380046881786017,9.822576791965105e-05,0.00020087169539568638,2.0758520482243075,2.076253791615099,0.0016501686092221003,5.500562030740334e-05,0.0005380046881785427,9.822576791964027e-05,0.00020087169539566435,-0.006662686549759414,-0.006260943158968085,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.49,900,30,2.0336428870432055,-0.006371547021186507,2.040014434064392,-16.21558716891966,4.138099903571934,0.0016259724571991844,5.419908190663948e-05,0.000532707846661296,9.725870139213163e-05,0.00019889404434690917,2.033443992998859,2.033841781087552,0.001625972457199188,5.41990819066396e-05,0.000532707846661251,9.725870139212341e-05,0.00019889404434689237,-0.0065704410655334,-0.006172652976839615,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.5,900,30,1.9929352738712371,-0.0062788715118668155,1.999214145383104,-15.979727997701046,4.066954986192379,0.0015980176763034906,5.326725587678302e-05,0.0005202869089574834,9.499095880355012e-05,0.00019425651075326,1.9927410173604838,1.9931295303819905,0.001598017676303489,5.326725587678297e-05,0.0005202869089574709,9.499095880354784e-05,0.00019425651075325533,-0.006473128022620071,-0.0060846150011135604,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.51,900,30,1.9538222835717387,-0.0061915844509123795,1.960013868022651,-15.757582427572006,4.009643410392677,0.0015754983930815981,5.2516613102719936e-05,0.0005127744690448391,9.36193812028643e-05,0.0001914516345598575,1.953630831937179,1.9540137352062985,0.0015754983930816018,5.251661310272006e-05,0.0005127744690448683,9.361938120286963e-05,0.0001914516345598684,-0.006383036085472248,-0.006000132816352511,std_over_ref_units_sem_ci95_over_dataset_means,pass
