run,rule,radius,target_ref_count,observed_ref_count,n_samples_min,n_samples_max,sampling_complete,diagnostic_phi_available,strict_claim_qc_pass,claim_status_updated,strict_claim_fail_reason,unit_strict_qc_pass_count,unit_split_fail_count,unit_split_fail_fraction,refs_remaining_if_drop_split_fail,split_fail_ref_ids,max_split_logZ_per_P_diff,split_logZ_per_P_diff_q99,split_logZ_per_P_diff_q95,split_logZ_per_P_diff_q90,split_logZ_per_P_diff_median,q05_ess_fraction,finite_unit_fraction,bootstrap_sd_delta_phi_energy,delta_phi_energy,delta_phi_full,phi_energy_raw
60ref,random_label,2.1,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,42,18,0.3,42,"005,011,013,016,023,029,032,033,034,035,040,043,045,047,048,051,055,059",0.0092309369683157,0.009096939082673209,0.007238519038155067,0.00647298295789345,0.00267771711564855,0.6162515573572129,1.0,0.0006940512390666,-0.1460633608576547,2.897221969008099,-0.1731340299659062
60ref,random_label,2.2,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,37,23,0.38333333333333336,37,"005,006,008,009,010,012,013,014,021,023,024,027,030,032,033,035,048,049,050,051,054,055,059",0.0103526868716538,0.009583415670526023,0.008347002814818224,0.00733524602554481,0.0029883996566547498,0.6093890468302099,1.0,0.000610221324756,-0.1470210428867281,2.94276539972256,-0.1740917119949795
60ref,random_label,2.3,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,39,21,0.35,39,"003,004,005,008,011,025,026,033,034,035,038,040,042,043,044,045,046,049,052,054,057",0.0158658733826289,0.013960484111355346,0.008819158565878556,0.006910709665638641,0.00286505703418465,0.6074349459119598,1.0,0.0006257787102847,-0.1481838941372943,2.986036248563116,-0.1752545632455457
60ref,random_label,2.4,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,42,18,0.3,42,"000,002,003,011,013,015,016,017,019,030,037,043,047,048,050,052,056,059",0.0108528576077903,0.010848333776358887,0.006907017191798592,0.00662420559290413,0.00261159731584775,0.6603466948951111,1.0,0.000658577448756,-0.1490923493100215,3.027670114182845,-0.1761630184182729
60ref,random_label,2.5,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,36,24,0.4,36,"002,009,016,018,019,021,022,023,024,025,027,028,030,032,035,036,038,039,045,049,050,053,054,057",0.0146393586246915,0.011439495860989014,0.008627347008327738,0.007074797150637761,0.003064146017403,0.6183346733544496,1.0,0.000568442879133,-0.1509634581047987,3.06660441234452,-0.1780341272130502
60ref,real_even_odd,0.1,60,60,1024,1024,True,True,True,strict_claim_pass,pass,60,0,0.0,60,,0.0005593509292632,0.0004053006899175181,0.00024286332779360485,0.00020611259439764002,6.988764485919364e-05,0.5480884575637969,1.0,0.0,0.0,0.0,-0.0030268573559071
60ref,real_even_odd,0.2,60,60,1024,1024,True,True,True,strict_claim_pass,pass,60,0,0.0,60,,0.0021704352428595,0.0021524361980593348,0.0018542615500428848,0.00167905647069099,0.0006511196961195001,0.6023666657415652,1.0,0.0001403019321863,-0.0107273232045546,0.6821382047017702,-0.0137541805604617
60ref,real_even_odd,0.3,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,59,1,0.016666666666666666,59,038,0.0047296635815502,0.0042517066038408645,0.003523044456538414,0.00287143971885443,0.0013698371079416002,0.6024935995926088,1.0,0.0002579251790971,-0.0230223249125794,1.075143554861313,-0.0260491822684865
60ref,real_even_odd,0.4,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,54,6,0.1,54,"010,012,022,034,041,058",0.0070176981596911,0.006513568586157401,0.004574233716607132,0.00396014046698203,0.00163724049321995,0.6129818890973706,1.0,0.0003170451854738,-0.0338115025039079,1.3519195533087418,-0.036838359859815
60ref,real_even_odd,0.5,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,51,9,0.15,51,"003,009,014,027,034,047,049,052,054",0.0082152463855986,0.008053213743637344,0.0061617935925144494,0.004586334304861121,0.0019232826895162502,0.6503681770424432,1.0,0.0002997310196827,-0.0420309217289333,1.566753013495726,-0.0450577790848404
