beta,radius,finite_ref_count,mean_logZ_inf,mean_logZ_inf_full,sd_logZ_inf,sd_logZ_inf_full,mean_logZ_inf_per_P,mean_logZ_inf_full_per_P,mean_reference_prior_log_weight,mean_theta_ref_norm_sq,aggregate_ref_level_ess,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,mean_weighted_error,mean_weighted_accuracy,mean_weighted_ce_l2_ratio,min_smc_cess_fraction,max_smc_step_count,mean_smc_step_count,mean_smc_mh_acceptance,claim
0.22,0.07,100,-0.08653411385492264,-0.8495051942309877,0.02941970884796156,0.18344439968605175,-3.40016164459421e-05,-0.00033379378948172406,-0.7629710803760652,3883.5227991141714,102305.99281596075,0.9974455477600412,2.4101631734733736e-06,1.181042599111549e-06,0.025439176181434348,0.9745608238185656,0.10954053586697757,0.9954357901933925,1.0,1.0,0.998388671875,pass
0.22,0.08,100,-0.10747103111675849,-0.8704421114928235,0.03781264401073731,0.1903325403929651,-4.222830299283241e-05,-0.0003420204760286143,-0.7629710803760652,3883.5227991141714,102265.00763901776,0.9964448143649774,4.6873159706655995e-06,1.550786715506432e-06,0.03001930841346629,0.9699806915865338,0.13509341106695721,0.9927636919529087,1.0,1.0,0.997890625,pass
0.22,0.09,100,-0.129749199688216,-0.8927202800642812,0.046517527994086275,0.19776362301233005,-5.098200380676464e-05,-0.0003507741768425466,-0.7629710803760652,3883.5227991141714,102214.48184643725,0.9950717256756401,3.723211931918999e-06,1.7973684647389828e-06,0.03455807528690823,0.9654419247130918,0.16219523605115652,0.9898337895513757,1.0,1.0,0.997626953125,pass
0.22,0.1,100,-0.1529860916265567,-0.9159571720026217,0.05571223612497858,0.20535877071246048,-6.011241321279241e-05,-0.00035990458624857435,-0.7629710803760652,3883.5227991141714,102158.4602005005,0.9940498188652676,9.249863662714798e-06,2.2809927485783484e-06,0.0389666154152644,0.9610333845847356,0.1902677112211563,0.98613966335185,1.0,1.0,0.997080078125,pass
0.26,0.01,100,-0.009410979758775126,-0.4774466764858233,0.004169706124360611,0.12212756361680352,-3.697830946473527e-06,-0.00018760183751898753,-0.4680356967270481,2382.3016963406753,102399.96605281642,0.9999986759022087,4.668376130025258e-08,1.6033767401803786e-07,0.0016861105447688067,0.9983138894552311,0.02152966905551061,0.9999938212999058,1.0,1.0,0.99998046875,pass
0.26,0.02,100,-0.011553105450301613,-0.4795888021773498,0.004780125692403074,0.12291039961125069,-4.5395306288022055e-06,-0.00018844353720131623,-0.4680356967270481,2382.3016963406753,102399.39806154178,0.9999701051060872,3.453706411190205e-07,1.843680232890863e-07,0.0029187969609635045,0.9970812030390364,0.025745619047676898,0.9999084237898493,1.0,1.0,0.999873046875,pass
0.26,0.03,100,-0.015511377226936813,-0.48354707395398494,0.006488479029631153,0.1242850913318576,-6.0948437041009085e-06,-0.0001899988502766149,-0.4680356967270481,2382.3016963406753,102396.93158841669,0.9998791522785442,5.961532618432849e-07,2.3790533267907844e-07,0.004739661388629239,0.9952603386113708,0.03362158171570201,0.9995866610866557,1.0,1.0,0.999697265625,pass
0.26,0.04,100,-0.02118605572071448,-0.48922175244776256,0.009398915902158654,0.1262495731758528,-8.324579850968361e-06,-0.00019222858642348235,-0.4680356967270481,2382.3016963406753,102391.90551592316,0.9996601853594145,6.034573977260931e-07,3.938063070482965e-07,0.007043770936933965,0.992956229063066,0.04492529725091354,0.9991321749162602,1.0,1.0,0.999501953125,pass
0.26,0.05,100,-0.028482286186079953,-0.4965179829131281,0.013032971880481328,0.12852484410278261,-1.1191468049540257e-05,-0.00019509547462205425,-0.4680356967270481,2382.3016963406753,102383.32803541022,0.9993377067098883,1.2525099709490579e-06,4.948816303757643e-07,0.009618652401198906,0.990381347598801,0.05945663485632779,0.9984433733769427,1.0,1.0,0.999306640625,pass
0.26,0.06,100,-0.03729281839997195,-0.5053285151270199,0.017556712942976296,0.13139476131050468,-1.4653366758338684e-05,-0.00019855737333085262,-0.4680356967270481,2382.3016963406753,102370.7195197153,0.9988552475377244,3.983789466786162e-06,6.585379315028015e-07,0.012392894397392771,0.9876071056026072,0.07697480563721791,0.9974418268442152,1.0,1.0,0.99916015625,pass
