eta,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem
0.15,0.22,30,-0.0626655640413924,0.004289289123648608,0.0007831134695613024
0.15,0.23,30,-0.06659590577673928,0.00466445998862096,0.0008516099847826638
0.15,0.24,30,-0.07112398630975232,0.005025526159612654,0.0009175313469840528
0.15,0.25,30,-0.07481251814616127,0.004950073887746262,0.0009037557098786412
0.15,0.26,30,-0.07853110752475626,0.004977554202687847,0.000908772906005592
0.15,0.27,30,-0.08133277731735432,0.006019715731581318,0.001099044698651934
0.15,0.28,30,-0.08446019786897704,0.004438707430268494,0.0008103933952412811
0.15,0.29,30,-0.0875663029719265,0.004953017405686827,0.0009042931202701304
0.15,0.3,30,-0.09067208839881008,0.004737595096556383,0.0008649625675699321
0.15,0.31,30,-0.09254491605577195,0.004517144274278477,0.0008247139381758746
0.15,0.32,30,-0.09551375838984734,0.00447484178931766,0.0008169905964253538
0.15,0.33,30,-0.09814379331020534,0.005195159955554529,0.0009485020991682506
0.15,0.34,30,-0.10003282236769025,0.004235985189125806,0.000773381547113997
0.15,0.35,30,-0.10223664709482382,0.003865715519791638,0.0007057798636958961
0.15,0.36,30,-0.10276957253882865,0.004577561559019431,0.0008357445747478189
0.15,0.37,30,-0.10576159941094615,0.0037762415549428678,0.0006894442274101978
0.15,0.38,30,-0.10628152010257358,0.003700218183254012,0.0006755643222196694
0.15,0.39,30,-0.10768069139867521,0.0042637413498071396,0.0007784491055522984
0.15,0.4,30,-0.10918537478549448,0.0046310226074597945,0.0008455051821407075
0.15,0.41,30,-0.1105430455026541,0.0042678654099788035,0.0007792020524804752
0.15,0.42,30,-0.11050875214327321,0.004612879547617067,0.0008421927277613646
0.15,0.43,30,-0.11141991350993785,0.0036963021831946485,0.0006748493616971002
0.15,0.44,30,-0.11224838416285904,0.004529560023165734,0.0008269807334204983
0.15,0.45,30,-0.11322446489074336,0.0039141446574916606,0.0007146217740821718
0.15,0.46,30,-0.11407030915379199,0.004194803797179569,0.0007658628880078586
0.15,0.47,30,-0.1145283848923715,0.0036309716691549504,0.0006629216962861171
0.15,0.48,30,-0.11506144659797685,0.003834931060238337,0.0007001594160565795
0.15,0.49,30,-0.11601286245347768,0.003001770070713744,0.0005480457267245982
0.15,0.5,30,-0.11742105402794026,0.003963078382174854,0.0007235558090260821
0.15,0.51,30,-0.1171890786890996,0.003829133814324708,0.0006991009886038133
0.15,0.52,30,-0.11858363415879634,0.0027062677731518143,0.0004940946353348407
0.15,0.53,30,-0.11793422237856749,0.002990810593375223,0.0005460448090723402
0.15,0.54,30,-0.1189978111651603,0.004088644775337659,0.0007464809910260256
0.15,0.55,30,-0.11945857464650096,0.004229769172254871,0.0007722466628946489
0.15,0.56,30,-0.11939296671582031,0.0037056214945652088,0.0006765508273831239
0.15,0.57,30,-0.1200023085480266,0.0034706462884307636,0.0006336504204317034
0.15,0.58,30,-0.11958704057246432,0.0033467542947644272,0.0006110309405565898
0.15,0.59,30,-0.12134351546244503,0.004218923541186732,0.0007702665306325161
0.15,0.6,30,-0.12130818453451726,0.0036485595814883805,0.000666132795060931
0.15,0.61,30,-0.12191919496176049,0.002980416387837089,0.0005441470954588129
0.15,0.62,30,-0.12254583663346309,0.0031668550901350944,0.000578185989739016
0.15,0.63,30,-0.12265140717395896,0.003141582348931546,0.0005735718395899573
0.15,0.64,30,-0.12224085086835847,0.003130715506730727,0.000571587834722546
0.15,0.65,30,-0.12285102472657612,0.0026251649620124095,0.0004792873556221298
0.15,0.66,30,-0.12349879704369801,0.003057733106165369,0.0005582631323590372
0.15,0.67,30,-0.12340647586748714,0.0029780536779229027,0.0005437157256198661
0.15,0.68,30,-0.12421093646408442,0.003097823097430423,0.0005655825298743892
0.15,0.69,30,-0.1251514104697921,0.0026715396055856508,0.00048775416841590554
0.15,0.7,30,-0.12426942302685172,0.0030079558458649893,0.0005491750895865959
0.15,0.71,30,-0.12530822228464494,0.0032726879521929853,0.0005975083383638288
0.15,0.72,30,-0.1247357386577725,0.002995465062055883,0.0005468945949022062
0.15,0.73,30,-0.12536533100498395,0.0031568815600484176,0.0005763650806035395
0.15,0.74,30,-0.12626911606063712,0.00313164446782043,0.00057175743903717
0.15,0.75,30,-0.12618906352962614,0.0028099781749625196,0.0005130294775080567
0.15,0.76,30,-0.1265231092491101,0.002523255089631968,0.0004606812436437157
0.15,0.77,30,-0.1264267053064441,0.003152515769816832,0.0005755680000064808
0.15,0.78,30,-0.12802679176353177,0.0031508772879883613,0.0005752688555206437
0.15,0.79,30,-0.12733854447688447,0.0035710507267802563,0.0006519816790175887
0.15,0.8,30,-0.1278441448441347,0.003581444757832632,0.0006538793607745202
0.15,0.81,30,-0.12845803490320246,0.002806561609661135,0.0005124057008798045
0.15,0.82,30,-0.12806542170038288,0.002731359759971388,0.0004986757843994102
0.15,0.83,30,-0.12910834485834424,0.0024976631401855314,0.000456008814309601
0.15,0.84,30,-0.12895090867626594,0.002645325095914767,0.00048296807565567694
0.15,0.85,30,-0.1296073695661511,0.002579064811310586,0.0004708706581408722
0.15,0.86,30,-0.12920491663357833,0.0028808364268886897,0.0005259663651631736
