eta,rule,radius,n_units,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,delta_phi_energy_mean,delta_phi_energy_sd,delta_phi_energy_sem,ess_fraction_min,ess_fraction_mean,split_logZ_per_P_diff_max,weighted_ce_mean,weighted_error_mean,elapsed_s_mean,d_phi_energy_raw_dd_unit_mean,d_phi_energy_raw_dd_unit_sd,d_phi_energy_raw_dd_unit_sem,d_delta_phi_energy_dd_unit_mean,d_delta_phi_energy_dd_unit_sd,d_delta_phi_energy_dd_unit_sem,d_phi_energy_raw_dd,d_delta_phi_energy_dd
0.35,eta_0p35,0.2,90,-0.08336860319450373,0.007285957198103996,0.0007680073226835755,-0.060060661940909005,0.00538439152915979,0.0005675647015420621,0.5593981013546075,0.7895563343303826,0.011713561580859365,0.25330810069479937,0.10114458011916558,30.789559531211854,-0.5944879417331667,0.05813080749092682,0.0061275251298702205,-0.5944879417331667,0.05813080749092682,0.006127525129870219,-0.5944879417331667,-0.5944879417331667
0.35,eta_0p35,0.25,90,-0.11106713886417187,0.008516743157207459,0.0008977435541143023,-0.08775919761057713,0.00666678354997103,0.0007027406895083808,0.563087655001618,0.8124650934989349,0.022650677903439477,0.3588540377252852,0.14249307303063286,33.64995935493045,-0.4715367218562545,0.06057090198437722,0.006384733673381487,-0.4715367218562545,0.06057090198437723,0.006384733673381487,-0.4715367218562543,-0.4715367218562545
0.35,eta_0p35,0.3,90,-0.13052227538012914,0.0081958077256489,0.0008639139892618315,-0.10721433412653444,0.006837497687512052,0.0007207355396224107,0.581895115373783,0.8127417822643286,0.02153877589590622,0.4432771721145121,0.183450614307532,35.01854659981198,-0.31136360745539166,0.06501510876414096,0.006853194200608679,-0.3113636074553917,0.06501510876414097,0.006853194200608679,-0.3113636074553916,-0.3113636074553918
0.35,eta_0p35,0.35,90,-0.14220349960971101,0.006946820174837863,0.0007322591416032255,-0.11889555835611629,0.006452705409742135,0.0006801748721625067,0.5820913127799777,0.7924525900158976,0.019528048424280287,0.5007034204866565,0.22157012882065594,35.42859065002865,-0.17153251871125616,0.06926931785447372,0.007301627212876829,-0.17153251871125616,0.06926931785447368,0.0073016272128768305,-0.1715325187112564,-0.1715325187112562
0.35,eta_0p35,0.4,90,-0.14767552725125477,0.00638164976052992,0.0006726849490914216,-0.12436758599766004,0.006301831002316139,0.0006642713132260277,0.5794490389140248,0.8289208343145488,0.015455548425763965,0.5380894376957778,0.253791626219659,34.94572462240855,-0.09131686227293122,0.06376257127952162,0.0067211651570708375,-0.09131686227293123,0.06376257127952162,0.0067211651570708375,-0.09131686227293123,-0.09131686227293123
0.35,eta_0p35,0.45,90,-0.15133518583700417,0.00552628586373568,0.0005825216776865217,-0.12802724458340942,0.006647076781354884,0.0007006634137034162,0.6064206535279917,0.8352557268445395,0.015115859140462727,0.5696138313606528,0.28214549400851185,33.76522470580207,-0.037316970451460416,0.06638706043136033,0.006997810604211296,-0.03731697045146039,0.06638706043136032,0.006997810604211296,-0.03731697045146043,-0.03731697045146021
0.35,eta_0p35,0.5,90,-0.1514072242964008,0.004126139767825609,0.0004349333203509093,-0.12809928304280607,0.005722841426939552,0.0006032404532365692,0.5373646679292852,0.8122929767868279,0.01509668139746229,0.5885058376306033,0.30229673622476894,32.833234900898404,-0.005316365336855908,0.048752728568792494,0.005138988814178173,-0.0053163653368558834,0.04875272856879246,0.005138988814178171,-0.005316365336855533,-0.005316365336856199
0.35,eta_0p35,0.55,90,-0.1518668223706897,0.003705720341626321,0.000390617221705215,-0.12855888111709501,0.005345232100796669,0.0005634369353588066,0.5402229929131267,0.8056028477619184,0.017332056720833284,0.6054747763418785,0.3178545230314039,31.977397023306953,-0.01342009138692765,0.0408430805785857,0.004305238709537288,-0.013420091386927634,0.040843080578585676,0.0043052387095372825,-0.013420091386927568,-0.013420091386927346
0.35,eta_0p35,0.6,90,-0.15274923343509353,0.0035112157718385968,0.00037011463984386875,-0.1294412921814988,0.005337665763532542,0.0005626393733821518,0.5361685596431593,0.7938270124968831,0.012406227412031672,0.6168137741737022,0.3297241644146051,31.0772885772917,-0.010225561142820782,0.03945819046742783,0.004159258474193865,-0.010225561142820822,0.03945819046742781,0.004159258474193862,-0.010225561142821027,-0.010225561142820805
0.35,eta_0p35,0.65,90,-0.15288937848497183,0.00329109066630082,0.00034691141638772474,-0.1295814372313771,0.005055018622686167,0.0005328457487418532,0.5407768640870578,0.8059131634514715,0.012248062822701692,0.6250491573018446,0.3389752382014258,30.651497973336113,-0.012282719392072818,0.03630701362631077,0.003827095269930383,-0.01228271939207277,0.036307013626310745,0.0038270952699303797,-0.012282719392072483,-0.012282719392072927
0.35,eta_0p35,0.7,90,-0.15397750537430077,0.003492380018078788,0.0003681291770662995,-0.13066956412070607,0.005074499436564442,0.0005348992068261589,0.5704070561164144,0.8079614725717713,0.012036320216746449,0.6342971051324681,0.34792932554780737,30.335361043612163,-0.012813367953733702,0.03599138932684713,0.003793825547557044,-0.012813367953733766,0.035991389326847145,0.0037938255475570464,-0.012813367953733668,-0.012813367953733668
0.35,eta_0p35,0.75,90,-0.15417071528034523,0.0028814147996798576,0.0003037277883568722,-0.1308627740267505,0.004854630431370215,0.0005117229787165206,0.5191212768123079,0.8306113517580359,0.01133497713813302,0.637873091975991,0.35260217533111804,29.983005815082127,-0.00567019166428699,0.03702006208957023,0.0039022571774631424,-0.005670191664287009,0.03702006208957025,0.003902257177463144,-0.005670191664287394,-0.005670191664286728
0.35,eta_0p35,0.8,90,-0.1545445245407295,0.0029653096733800923,0.00031257108452036937,-0.13123658328713475,0.004823352577239229,0.0005084260034039733,0.5677160985355327,0.7964447692294646,0.011042768891653945,0.6440099226635212,0.35944793253182983,29.77395293182797,-0.008985610744561775,0.03417069382695048,0.0036019073907139682,-0.008985610744561716,0.03417069382695049,0.003601907390713969,-0.008985610744561834,-0.008985610744562056
0.35,eta_0p35,0.85,90,-0.1550692763548014,0.0025653743759663766,0.00027041420263622894,-0.13176133510120666,0.004412573498564693,0.0004651260866120719,0.5317318272619175,0.8109197750726244,0.01029234801609703,0.6470369540016047,0.36304262741265203,29.697047124968634,-0.011476207519384728,0.03499655248150373,0.0036889605365056505,-0.01147620751938474,0.03499655248150371,0.0036889605365056483,-0.011476207519384829,-0.011476207519384607
0.35,eta_0p35,0.9,90,-0.155692145292668,0.002023743648489298,0.00021332131098417785,-0.13238420403907325,0.004165649714849944,0.0004390980344452255,0.5455554784324375,0.8028733834392671,0.012142886087516765,0.651603001415302,0.36797936818355176,29.571978386243185,-0.007056376044489504,0.031121133250098555,0.0032804554811970005,-0.0070563760444894786,0.03112113325009859,0.0032804554811970035,-0.0070563760444894985,-0.0070563760444894985
0.35,eta_0p35,0.95,90,-0.1557749139592503,0.0024689549083247576,0.00026025069835194746,-0.13246697270565558,0.0041631244905211565,0.00043883185242916386,0.5699046922304767,0.8319108871098024,0.0110915049958364,0.6549136456469237,0.37171897795846404,29.417093573676215,-0.015568253320965343,0.027982237892594967,0.0029495868589756715,-0.0155682533209654,0.027982237892594946,0.0029495868589756694,-0.01556825332096512,-0.015568253320965342
0.35,eta_0p35,1.0,90,-0.15724897062476456,0.0023016804348789,0.00024261842066880648,-0.13394102937116983,0.004495593526512775,0.0004738771659362975,0.5695057710443041,0.8077587353220049,0.006341913115582338,0.65911513441732,0.37474634553114144,29.425540823406642,-0.02948113331028503,0.05969842293028081,0.006292766305990357,-0.02948113331028503,0.05969842293028082,0.006292766305990357,-0.029481133310285096,-0.029481133310285096
0.4,eta_0p40,0.1,90,-0.023939246729763896,0.0035332916365978313,0.0003724416403091031,0.0,0.0,0.0,0.5301803563501987,0.8014254039372398,0.006594015361858199,0.05918451745939784,0.022132076993545743,18.701679690678915,-0.6195624809805891,0.07598708428836302,0.008009741970214068,-0.6195624809805891,0.075987084288363,0.008009741970214068,-0.6195624809805891,-0.619562480980589
0.4,eta_0p40,0.15,90,-0.05491737077879334,0.006109447569987384,0.0006439923188847033,-0.030978124049029443,0.0037993542144181503,0.00040048709851070333,0.5482797925827675,0.7908309135120064,0.01625193948208226,0.14789451116275615,0.059061364700547014,26.904989926020303,-0.6583540116432065,0.06921043780127159,0.007295420710314474,-0.6583540116432065,0.06921043780127155,0.007295420710314472,-0.6583540116432065,-0.6583540116432064
