run,beta,radius,dataset_count,dphi_energy_dr,dphi_energy_dr_sem,dphi_energy_dr_ci95_half_width,source
60 dataset,0.29,0.14,60,-0.0006609468305824942,3.245662256951674e-05,6.494555174995834e-05,final_proxy_summary
60 dataset,0.29,0.15,60,-0.0006798977540104357,3.2774988179510755e-05,6.558259986409862e-05,final_proxy_summary
60 dataset,0.29,0.16,60,-0.0006973457413855371,3.293930073588974e-05,6.591138852997483e-05,final_proxy_summary
60 dataset,0.29,0.17,60,-0.0007138077126411498,3.308716288189595e-05,6.620726000072748e-05,final_proxy_summary
60 dataset,0.29,0.18,60,-0.0007289018802221883,3.332798798800397e-05,6.668914992497724e-05,final_proxy_summary
60 dataset,0.29,0.19,60,-0.000743749719379724,3.3431921904867556e-05,6.689712121224789e-05,final_proxy_summary
60 dataset,0.29,0.2,60,-0.0007582565623392852,3.352790657333335e-05,6.708918609021528e-05,final_proxy_summary
60 dataset,0.29,0.21,60,-0.0007718610415835182,3.365337070652333e-05,6.734023924084427e-05,final_proxy_summary
60 dataset,0.29,0.22,60,-0.0007859426390764772,3.371970092224449e-05,6.747296569592991e-05,final_proxy_summary
60 dataset,0.29,0.23,60,-0.0007985052446590671,3.378194288272877e-05,6.759751157118211e-05,final_proxy_summary
60 dataset,0.29,0.24,60,-0.0008125771836738368,3.392393066444643e-05,6.788162846614415e-05,final_proxy_summary
60 dataset,0.29,0.25,60,-0.0008249260410860634,3.385511919763261e-05,6.774393703909023e-05,final_proxy_summary
60 dataset,0.29,0.26,60,-0.0008378085805963388,3.38714519125078e-05,6.777661872606712e-05,final_proxy_summary
60 dataset,0.29,0.27,60,-0.0008506227504782607,3.392725462636649e-05,6.788827969858314e-05,final_proxy_summary
60 dataset,0.29,0.28,60,-0.0008628883041037156,3.3920172053408576e-05,6.787410750282937e-05,final_proxy_summary
60 dataset,0.29,0.29,60,-0.0008750143276258143,3.39255522073139e-05,6.788487316592733e-05,final_proxy_summary
60 dataset,0.29,0.3,60,-0.0008887702710677693,3.400564808031192e-05,6.804514463760032e-05,final_proxy_summary
60 dataset,0.31,0.01,60,-4.750240339810367e-05,4.277110609160548e-06,8.558478560502551e-06,final_proxy_summary
60 dataset,0.31,0.02,60,-0.00011373229403878555,8.669011479674236e-06,1.734665190342228e-05,final_proxy_summary
60 dataset,0.31,0.03,60,-0.0001840798986319094,1.3224476367132558e-05,2.646211608826977e-05,final_proxy_summary
60 dataset,0.31,0.04,60,-0.0002515627830920162,1.735066107310335e-05,3.4718592614055825e-05,final_proxy_summary
60 dataset,0.31,0.05,60,-0.00031326757121826696,2.0957858111522353e-05,4.193657721578593e-05,final_proxy_summary
60 dataset,0.31,0.06,60,-0.00036889669362194386,2.3971080821549497e-05,4.7966021931700855e-05,final_proxy_summary
60 dataset,0.31,0.07,60,-0.0004181409379390748,2.6614949596887783e-05,5.325639113142465e-05,final_proxy_summary
60 dataset,0.31,0.08,60,-0.00046211675748495447,2.8953869291280525e-05,5.793655862962415e-05,final_proxy_summary
60 dataset,0.31,0.09,60,-0.000500520552594064,3.0875944523285266e-05,6.178262228520358e-05,final_proxy_summary
60 dataset,0.31,0.1,60,-0.0005349747689270919,3.263280426787796e-05,6.529809051408288e-05,final_proxy_summary
60 dataset,0.31,0.11,60,-0.0005657652875854708,3.4172135164057956e-05,6.837828452268753e-05,final_proxy_summary
60 dataset,0.31,0.12,60,-0.000593689024085723,3.554550138750196e-05,7.112638398822152e-05,final_proxy_summary
60 dataset,0.31,0.13,60,-0.0006191127220451715,3.682823946985454e-05,7.369313696230684e-05,final_proxy_summary
60 dataset,0.31,0.14,60,-0.0006426021462525727,3.804083970320983e-05,7.611954442471953e-05,final_proxy_summary
60 dataset,0.31,0.15,60,-0.000664657574364521,3.911241819420128e-05,7.826376803245222e-05,final_proxy_summary
60 dataset,0.31,0.16,60,-0.0006855269785955957,4.0020837001853257e-05,8.008150986793228e-05,final_proxy_summary
60 dataset,0.31,0.17,60,-0.0007047350003052664,4.077425956196333e-05,8.158910492845997e-05,final_proxy_summary
60 dataset,0.31,0.18,60,-0.0007244468696232782,4.162773564844787e-05,8.32969066328244e-05,final_proxy_summary
60 dataset,0.31,0.19,60,-0.0007425071252653491,4.232411374467629e-05,8.469035598477938e-05,final_proxy_summary
60 dataset,0.31,0.2,60,-0.0007597679093077878,4.2982992735596943e-05,8.600876980033106e-05,final_proxy_summary
60 dataset,0.31,0.21,60,-0.0007767201672541232,4.351595914916655e-05,8.707523313056012e-05,final_proxy_summary
60 dataset,0.31,0.22,60,-0.0007940978792843078,4.4128130625772014e-05,8.830018542584512e-05,final_proxy_summary
60 dataset,0.31,0.23,60,-0.0008109818847256668,4.45014937769004e-05,8.904728336560151e-05,final_proxy_summary
60 dataset,0.31,0.24,60,-0.0008272434637577154,4.503044956963397e-05,9.010572146207439e-05,final_proxy_summary
60 dataset,0.31,0.25,60,-0.0008432907826252709,4.5226550746172236e-05,9.049811900996513e-05,final_proxy_summary
60 dataset,0.31,0.26,60,-0.0008585435398906934,4.5622197417007334e-05,9.128980616966217e-05,final_proxy_summary
60 dataset,0.31,0.27,60,-0.0008740867133297876,4.594274252634545e-05,9.193121545191655e-05,final_proxy_summary
