eta,ref_id,radius,phi_energy_raw
0.05,3,0.73,-0.083304219531479
0.05,3,0.74,-0.0873691001945336
0.05,3,0.75,-0.0900371182773988
0.05,3,0.76,-0.0901788705966281
0.05,3,0.77,-0.0890956296715972
0.05,3,0.78,-0.0891943943326267
0.05,3,0.79,-0.0921815246675101
0.05,3,0.8,-0.0883357310289079
0.05,3,0.81,-0.0933330956103097
0.05,3,0.82,-0.0872215057140851
0.05,3,0.83,-0.0841247655506741
0.05,3,0.84,-0.088262553838698
0.05,3,0.85,-0.094692430531944
0.05,3,0.86,-0.0911872110460469
0.05,3,0.87,-0.0911874593425611
0.05,3,0.88,-0.0922485555041756
0.05,3,0.89,-0.09383302046612
0.05,3,0.9,-0.0959525907802658
0.05,3,0.91,-0.0999914018020264
0.05,3,0.92,-0.0919245538205215
0.05,3,0.93,-0.0975541588489497
0.05,3,0.94,-0.1015124490451224
0.05,3,0.95,-0.0982336636465425
0.05,3,0.96,-0.095594629513121
0.05,3,0.97,-0.0963313264565378
0.05,3,0.98,-0.0939913052280825
0.05,3,0.99,-0.1004710083097815
0.05,3,1.0,-0.0970155364641712
0.05,4,0.01,-0.0003871259117572
0.05,4,0.02,-0.0004137642123484
0.05,4,0.03,-0.0004770076086618
0.05,4,0.04,-0.0006255282024658
0.05,4,0.05,-0.0009034311101258
0.05,4,0.06,-0.0013413508001475
0.05,4,0.07,-0.0019787435465842
0.05,4,0.08,-0.0028719288706984
0.05,4,0.09,-0.0039334033727234
0.05,4,0.1,-0.0052069521567354
0.05,4,0.11,-0.0067324584615219
0.05,4,0.12,-0.0085664532828852
0.05,4,0.13,-0.0093912880698295
0.05,4,0.14,-0.0122518351370483
0.05,4,0.15,-0.0140455064889848
0.05,4,0.16,-0.016379179969506
0.05,4,0.17,-0.0185016639116052
0.05,4,0.18,-0.0198213199312884
0.05,4,0.19,-0.0242399584295518
0.05,4,0.2,-0.0271245511804195
0.05,4,0.21,-0.0257606297104464
0.05,4,0.22,-0.0298788705735202
0.05,4,0.23,-0.0314161726869499
0.05,4,0.24,-0.0361866676460886
0.05,4,0.25,-0.0366625629180398
0.05,4,0.26,-0.038711873164728
0.05,4,0.27,-0.0409403738490155
0.05,4,0.28,-0.0416789415526651
0.05,4,0.29,-0.0445643373471481
0.05,4,0.3,-0.0508076439550525
0.05,4,0.31,-0.0503239132817423
0.05,4,0.32,-0.0518755802676475
0.05,4,0.33,-0.0538311286692124
0.05,4,0.34,-0.0558455144718722
0.05,4,0.35,-0.0597934298521921
0.05,4,0.36,-0.0593096102100133
0.05,4,0.37,-0.0555392235505998
0.05,4,0.38,-0.0638978823554351
0.05,4,0.39,-0.0631512329280561
0.05,4,0.4,-0.0646433326906345
0.05,4,0.41,-0.0657645211231098
0.05,4,0.42,-0.065921292576494
0.05,4,0.43,-0.0666108528438127
0.05,4,0.44,-0.0675578330211604
0.05,4,0.45,-0.0635612709534152
0.05,4,0.46,-0.0697491078194576
0.05,4,0.47,-0.0708993566175669
0.05,4,0.48,-0.0768515489459953
0.05,4,0.49,-0.0728082736338504
0.05,4,0.5,-0.0742983448012802
0.05,4,0.51,-0.074874217313203
0.05,4,0.52,-0.074403865790194
0.05,4,0.53,-0.0771918843152902
0.05,4,0.54,-0.0749216542906515
0.05,4,0.55,-0.0750983079781144
0.05,4,0.56,-0.0797502699371559
0.05,4,0.57,-0.0832230261090292
0.05,4,0.58,-0.078248206885493
0.05,4,0.59,-0.0805780109869893
0.05,4,0.6,-0.0821735747567975
0.05,4,0.61,-0.0821022955535338
0.05,4,0.62,-0.0806462922890181
0.05,4,0.63,-0.0794298184812267
0.05,4,0.64,-0.0837115057094518
0.05,4,0.65,-0.0865518872170861
0.05,4,0.66,-0.083087263315296
0.05,4,0.67,-0.0863560117399235
0.05,4,0.68,-0.0803283148743135
0.05,4,0.69,-0.0833711550976351
0.05,4,0.7,-0.0867958277720073
0.05,4,0.71,-0.0805575496613168
0.05,4,0.72,-0.0860148887880961
0.05,4,0.73,-0.0917696404890974
0.05,4,0.74,-0.0881689975296601
0.05,4,0.75,-0.0904895006166559
0.05,4,0.76,-0.0937274231065663
0.05,4,0.77,-0.0925406913159462
0.05,4,0.78,-0.0897706804296717
0.05,4,0.79,-0.0890337759686033
0.05,4,0.8,-0.0869195523530919
0.05,4,0.81,-0.0879443647815819
0.05,4,0.82,-0.0936716036425651
0.05,4,0.83,-0.0901444512781005
0.05,4,0.84,-0.0900164829532739
0.05,4,0.85,-0.0941655255785154
0.05,4,0.86,-0.0921365065481158
0.05,4,0.87,-0.0952522096354848
0.05,4,0.88,-0.088394305901567
0.05,4,0.89,-0.0869455422442501
0.05,4,0.9,-0.0978666356296883
0.05,4,0.91,-0.0958386870274185
0.05,4,0.92,-0.0975766765669362
0.05,4,0.93,-0.0972724082537995
0.05,4,0.94,-0.0980279130738319
0.05,4,0.95,-0.1013531501819746
0.05,4,0.96,-0.0994473765657602
0.05,4,0.97,-0.0979195347521279
0.05,4,0.98,-0.0994120698944955
0.05,4,0.99,-0.1000123302678213
0.05,4,1.0,-0.1014661849150815
0.05,5,0.01,-0.000182786112262
0.05,5,0.02,-0.0002118496032668
0.05,5,0.03,-0.0002926808405277
0.05,5,0.04,-0.0004902435849073
0.05,5,0.05,-0.0008633587989893
0.05,5,0.06,-0.0014284538228988
0.05,5,0.07,-0.0022501771656842
0.05,5,0.08,-0.0031215976243329
0.05,5,0.09,-0.0045510805835592
0.05,5,0.1,-0.0060622482962307
0.05,5,0.11,-0.0074343867528725
0.05,5,0.12,-0.0094019828322565
0.05,5,0.13,-0.0107668349969434
0.05,5,0.14,-0.0127154759682343
0.05,5,0.15,-0.0141115050917762
0.05,5,0.16,-0.0176213425071682
0.05,5,0.17,-0.0190772579132888
0.05,5,0.18,-0.0224898380206037
0.05,5,0.19,-0.0260276212777341
0.05,5,0.2,-0.0257186640476221
0.05,5,0.21,-0.0323088817650769
0.05,5,0.22,-0.02933887197094
0.05,5,0.23,-0.0349546435381124
0.05,5,0.24,-0.0361045550204296
0.05,5,0.25,-0.0398858455302385
0.05,5,0.26,-0.0428397610000366
0.05,5,0.27,-0.0444494746856418
0.05,5,0.28,-0.0450643351624799
0.05,5,0.29,-0.042778860381286
0.05,5,0.3,-0.0476608612702427
0.05,5,0.31,-0.0482381180500763
0.05,5,0.32,-0.0538317668387568
0.05,5,0.33,-0.0485920664163203
0.05,5,0.34,-0.0537664086039883
0.05,5,0.35,-0.0583693326372228
0.05,5,0.36,-0.0626605018668478
0.05,5,0.37,-0.0635073225836172
0.05,5,0.38,-0.0588668482740895
0.05,5,0.39,-0.0590419824330144
0.05,5,0.4,-0.0636416450481353
0.05,5,0.41,-0.0665499912647559
0.05,5,0.42,-0.067436623746007
0.05,5,0.43,-0.0650019362636201
0.05,5,0.44,-0.070333534786491
0.05,5,0.45,-0.0658623725102759
0.05,5,0.46,-0.0672688074097949
0.05,5,0.47,-0.0640560854681573
0.05,5,0.48,-0.074227831551429
0.05,5,0.49,-0.0715799837327565
0.05,5,0.5,-0.072486513022171
0.05,5,0.51,-0.0685443526331339
0.05,5,0.52,-0.0702632857112484
0.05,5,0.53,-0.0778042551760951
0.05,5,0.54,-0.0758589268607863
0.05,5,0.55,-0.0772318726929742
0.05,5,0.56,-0.0751780785895442
0.05,5,0.57,-0.0790203760468541
0.05,5,0.58,-0.0752640211899194
0.05,5,0.59,-0.0787892030964994
0.05,5,0.6,-0.0800104766325313
0.05,5,0.61,-0.0817096173543592
0.05,5,0.62,-0.0710436339518109
0.05,5,0.63,-0.0808969118200349
0.05,5,0.64,-0.0822642925619639
0.05,5,0.65,-0.0824224008851603
0.05,5,0.66,-0.0802130481996699
0.05,5,0.67,-0.083368236660122
0.05,5,0.68,-0.0875899493718716
0.05,5,0.69,-0.0832557214008896
0.05,5,0.7,-0.0862748825576199
0.05,5,0.71,-0.0833649414549838
0.05,5,0.72,-0.0844576055592934
0.05,5,0.73,-0.0877033459334892
0.05,5,0.74,-0.0844015658660959
0.05,5,0.75,-0.0897943641753059
0.05,5,0.76,-0.089096136866964
0.05,5,0.77,-0.0861477901831242
0.05,5,0.78,-0.0885938734844735
0.05,5,0.79,-0.0895927594679661
0.05,5,0.8,-0.0864029252533113
0.05,5,0.81,-0.0916582071896675
0.05,5,0.82,-0.0900504029486181
0.05,5,0.83,-0.0922118164523446
0.05,5,0.84,-0.0929638804599515
0.05,5,0.85,-0.0939030880188679
0.05,5,0.86,-0.0866304569496542
0.05,5,0.87,-0.0904912262341854
