pair_id,pair,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
pair_0_2,0/2,2461,0.5,0.0004130611488859,-0.000413061
pair_0_2,0/2,2461,0.5,0.0002936647137612,-0.000293665
pair_0_2,0/2,2461,0.5,0.0001245344749751,-0.000124534
pair_0_2,0/2,2461,0.5,0.0001853374557822,-0.000185337
pair_0_2,0/2,2461,0.5,0.0004869488486727,-0.000486949
pair_0_2,0/2,2461,0.5,0.0007668949898975,0.000766895
pair_0_2,0/2,2461,0.5,0.0007463374896372,-0.000746337
pair_0_2,0/2,2461,0.5,0.0008377925091888,0.000837793
pair_0_2,0/2,2461,0.5,0.0006707401557723,-0.00067074
pair_0_2,0/2,2461,0.5,0.000162060560576,0.000162061
pair_0_2,0/2,2461,0.5,2.8058222136657008e-05,2.80582e-05
pair_0_2,0/2,2461,0.5,0.0001466606475161,0.000146661
pair_0_2,0/2,2461,0.5,0.0009521938957074,-0.000952194
pair_0_2,0/2,2461,0.5,0.001771898288119,0.0017719
pair_0_2,0/2,2461,0.5,0.001252169578105,0.00125217
pair_0_2,0/2,2461,0.55,0.0002546114750542,-0.000254611
pair_0_2,0/2,2461,0.55,0.0008115437383878,0.000811544
pair_0_2,0/2,2461,0.55,0.0002038410804515,-0.000203841
pair_0_2,0/2,2461,0.55,0.0011541923564482,-0.00115419
pair_0_2,0/2,2461,0.55,0.0002217753138744,0.000221775
pair_0_2,0/2,2461,0.55,0.0013146733547155,-0.00131467
pair_0_2,0/2,2461,0.55,0.0006009052464646,0.000600905
pair_0_2,0/2,2461,0.55,0.0016190699057528,-0.00161907
pair_0_2,0/2,2461,0.55,0.0002839277009264,-0.000283928
pair_0_2,0/2,2461,0.55,3.094022413936119e-05,-3.09402e-05
pair_0_2,0/2,2461,0.55,0.0019157767915615,-0.00191578
pair_0_2,0/2,2461,0.55,0.0011306619829267,-0.00113066
pair_0_2,0/2,2461,0.55,0.0010914169312963,-0.00109142
pair_0_2,0/2,2461,0.55,6.669894198870589e-05,-6.66989e-05
pair_0_2,0/2,2461,0.55,0.0006480820755302,0.000648082
pair_0_2,0/2,2461,0.55,0.0011611612769743,0.00116116
pair_0_2,0/2,2461,0.55,3.4053062051349594e-05,-3.40531e-05
pair_0_2,0/2,2461,0.55,0.000846258569315,0.000846259
pair_0_2,0/2,2461,0.55,0.0003084453369136,0.000308445
pair_0_2,0/2,2461,0.55,0.000629516336091,0.000629516
pair_0_2,0/2,2461,0.55,2.0715927320048973e-05,2.07159e-05
pair_0_2,0/2,2461,0.55,0.0003984914737876,0.000398491
pair_0_2,0/2,2461,0.55,0.0003933606578623,-0.000393361
pair_0_2,0/2,2461,0.55,0.0017240632369262,0.00172406
pair_0_2,0/2,2461,0.55,0.0011268090651797,-0.00112681
pair_0_2,0/2,2461,0.55,0.0003686679053934,-0.000368668
pair_0_2,0/2,2461,0.55,0.0006401295167999,0.00064013
pair_0_2,0/2,2461,0.55,0.0008659106198037,-0.000865911
pair_0_2,0/2,2461,0.55,0.0004420834568569,-0.000442083
pair_0_2,0/2,2461,0.55,0.0006956460671307,0.000695646
