beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.05,0.78,1800,2.0493052744148113,-0.004011337970834894,2.0493052744148113,-0.004011337970834894,0.0,2.0533166123856463,pass
0.05,0.79,1800,2.062002186141311,-0.004048446510653774,2.062002186141311,-0.004048446510653774,0.0,2.0660506326519648,pass
0.05,0.8,1800,2.074542546514832,-0.004081925796956304,2.074542546514832,-0.004081925796956304,0.0,2.0786244723117884,pass
0.05,0.81,1800,2.086925510824503,-0.0041166003384960955,2.086925510824503,-0.0041166003384960955,0.0,2.091042111162999,pass
0.05,0.82,1800,2.099155754312379,-0.004151628187978011,2.099155754312379,-0.004151628187978011,0.0,2.1033073825003568,pass
0.05,0.83,1800,2.111237901270917,-0.004186078948215108,2.111237901270917,-0.004186078948215108,0.0,2.1154239802191324,pass
0.05,0.84,1800,2.123175243512917,-0.0042202219804177024,2.123175243512917,-0.004220221980417701,-1.734723475976807e-18,2.127395465493335,pass
0.05,0.85,1800,2.1349715602349835,-0.00425371282376433,2.1349715602349835,-0.00425371282376433,0.0,2.1392252730587478,pass
0.05,0.86,1800,2.1466303880271917,-0.0042863291013233076,2.1466303880271917,-0.0042863291013233076,0.0,2.150916717128515,pass
0.05,0.87,1800,2.1581536043583096,-0.004319392608451643,2.1581536043583096,-0.004319392608451643,0.0,2.1624729969667613,pass
0.05,0.88,1800,2.169545313364523,-0.004351888779172248,2.169545313364523,-0.004351888779172248,0.0,2.1738972021436953,pass
0.05,0.89,1800,2.1808089620771565,-0.004383355416640005,2.1808089620771565,-0.004383355416640005,0.0,2.1851923174937964,pass
0.05,0.9,1800,2.1919445094215524,-0.004416718375438642,2.1919445094215524,-0.004416718375438642,0.0,2.196361227796991,pass
0.05,0.91,1800,2.2029606933782966,-0.0044460288228876,2.2029606933782966,-0.0044460288228876,0.0,2.2074067222011844,pass
