branch,r,phi,phi_rel,Q,s,eta,A,p,t,cd,G_S,G_E,qref,alpha,beta,lambda_ref,lambda_shell
full_mixed_maxQ_min_s_eta,0.45,0.1037199173884625,1.089451012054102,0.8752636363636364,0.0,0.0,0.0,0.7992272461945348,0.0565747147676581,0.89399510412224,0.6161477389092542,-0.0818093368669237,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.5,0.2053497841467959,1.1910808788124356,0.84095,0.0,0.0,0.0,0.7524590946251264,0.0548944806287961,0.8674440008583415,0.720848815010792,-0.0841249395964854,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.55,0.2954593370326056,1.2811904316982452,0.8025454545454545,0.0,0.0,0.0,0.700937359048688,0.0529818155769642,0.8372200183038435,0.8153874201924614,-0.0867196368518825,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.6,0.3762909102173565,1.3620220048829963,0.8145909090909093,0.0,0.0,0.0,0.649354998072348,0.0509950857545662,0.8058256623317155,0.8949480542865285,-0.0882706762518526,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.65,0.448933800964521,1.4346648956301609,0.7725499999999998,0.0,0.0,0.0,0.5898113398809137,0.0486008418110141,0.7679917576907409,0.9733694939612416,-0.0913141930386561,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.7,0.5141162753654075,1.499847370031047,0.7900499999999999,0.0,0.0,0.0,0.5348174174102905,0.046279643395902,0.731312120376991,1.036275883338999,-0.0930508578127666,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.75,0.5728714453646789,1.5586025400303187,0.7443727272727271,0.0,0.0,0.0,0.4691275930369017,0.0433443726567352,0.684928896336621,1.1023217457951116,-0.0965724075442938,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.8,0.6257386036049339,1.6114696982705736,0.7673272727272727,0.0,0.0,0.0,0.4140563045927367,0.0407208592543192,0.6434720697844909,1.151672744732601,-0.0984956642908613,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.85,0.6724343487762973,1.6581654434419368,0.7180136363636364,0.0,0.0,0.0,0.3450656610106625,0.0371738980952509,0.5874228979284537,1.2073283861098534,-0.1025386016956289,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.9,0.7151749708117435,1.700906065477383,0.7464227272727272,0.0,0.0,0.0,0.293696685575497,0.0342954697120063,0.5419378982646416,1.2450832782446488,-0.1046535343345539,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.95,0.7523230094805857,1.7380541041462254,0.7798318181818181,0.0,0.0,0.0,0.2467554866473645,0.0314355194855809,0.496744890912191,1.2772558407225618,-0.1067842201958744,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,1.0,0.7845823891678566,1.7703134838334962,0.7273363636363636,0.0,0.0,0.0,0.1818340909090908,0.0269851531654737,0.4264200873658402,1.318593463156852,-0.1115977469759547,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,1.05,0.813679219435046,1.7994103141006856,0.7641545454545454,0.0,0.0,0.0,0.1432258500995537,0.0239495819452237,0.3784519125325616,1.3416480677939608,-0.1139896280862995,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,1.1,0.8381201331352159,1.823851227800856,0.8018818181818183,0.0,0.0,0.0,0.109219363362215,0.0209139975582477,0.3304835296383392,1.3611099927631645,-0.1165193011226603,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,1.15,0.8583019262334374,1.8440330208990767,0.8405181818181818,0.0,0.0,0.0,0.0798147031494739,0.017878401412414,0.2825149609303443,1.3773484234051183,-0.1191905915155492,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,1.2,0.8745338708304694,1.8602649654961088,0.8800636363636366,0.0,0.0,0.0,0.0550119321057738,0.0148427947441453,0.2345462259465579,1.3906470441371397,-0.122008250874354,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,1.25,0.8870566478719438,1.872787742537584,0.920518181818182,0.0,0.0,0.0,0.0348111045072529,0.0118071786421879,0.18657734189138,1.401222808117466,-0.1249780613989722,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,1.3,0.8960554745560224,1.8817865692216624,0.961881818181818,0.0,0.0,0.0,0.019212267468985,0.0087715540676793,0.1386083239527305,1.4092389224578687,-0.1281069581794968,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,1.35,0.9016692152748566,1.8874003099404963,1.0041545454545455,0.0,0.0,0.0,0.0082154619609276,0.005735921871152,0.0906391855707431,1.4148138357817273,-0.1314031735918521,0.063283025272499,0.1,1.0,1.0,1.0
