branch,r,phi,phi_rel,Q,s,eta,A,p,t,cd,G_S,G_E,qref,alpha,beta,lambda_ref,lambda_shell
full_max_envelope,1.65,1618.077421333228,1.851726392039609,1.2337472972972974,-0.9666666666666668,0.995,0.0620704132805227,0.9996880883754748,-0.2435117538151046,-0.2200118481192017,1618.6055046406998,-0.1623771938448037,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.7,1618.060794178657,1.835099237468512,1.3792513513513516,-0.9666666666666668,0.995,0.0621435700147591,0.9996877207536948,-0.2434847668530772,-0.2174480520485166,1618.6060935984208,-0.1644417055918429,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.75,1618.0408662678103,1.815171326621794,1.4308054054054054,-0.9666666666666668,0.995,0.0606799255927397,0.9996950757507904,-0.243712484691696,-0.2640504298985024,1618.5941763858873,-0.1702616851721754,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.8,1618.0174143358563,1.79171939466778,1.4833054054054051,-0.9666666666666668,0.995,0.0589329583648416,0.9997038544805786,-0.2433700757371436,-0.3106528528531809,1618.579570170657,-0.1763962185599815,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.85,1617.9905993885277,1.7649044473391768,1.6465121621621623,-0.9666666666666668,0.995,0.0592640545807984,0.9997021906804984,-0.2434736215516111,-0.3023726091119847,1618.582371401362,-0.1784553649482581,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.9,1617.9621361507732,1.7364412095846546,1.704789189189189,-0.9666666666666668,0.995,0.0573898479127999,0.9997116088044584,-0.2426994691771968,-0.3466445647627189,1618.566303632579,-0.1849361740472272,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.95,1617.9299929334627,1.704297992274178,1.76407972972973,-0.9666666666666668,0.995,0.055259946089433,0.9997223118286964,-0.2413658339384782,-0.3909165493619199,1618.5473940933834,-0.1917587246716605,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,2.0,1617.893863990091,1.6681690489024277,1.824383783783784,-0.9666666666666668,0.995,0.0528743487544999,0.9997342997550024,-0.2394399618769121,-0.4351885603488609,1618.525329081671,-0.1989433833634407,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,2.05,1617.856942303391,1.63124736220243,2.011408108108108,-0.9666666666666668,0.995,0.0537260540466685,0.9997300198289112,-0.2401734709740303,-0.419918660485624,1618.5333189521268,-0.2009010873038174,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,2.1,1617.8161190720452,1.590424130856718,2.077894594594595,-0.9666666666666668,0.995,0.0513017819902865,0.9997422021005512,-0.2379654603424286,-0.4620583663190118,1618.5102326655183,-0.2084387964679247,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,2.15,1617.7713085386815,1.545613597493002,2.279547297297298,-0.9666666666666668,0.995,0.0523261229322787,0.9997370546586316,-0.23894301975335,-0.4447402318115906,1618.5201177855895,-0.2102403297697822,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,2.2,1617.725960058162,1.5002651169734236,2.3524864864864874,-0.9666666666666668,0.995,0.0498898286176488,0.99974929734363,-0.2365196627388946,-0.4849169394782285,1618.4962784950162,-0.218116176813916,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.15,-0.9857447132215312,0.0,0.9819729729729728,0.0,0.0,0.0,0.9775050936959996,0.0625672039298747,0.9886885726536944,-0.4782946577402909,-0.0736782227615311,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.2,-0.698348632265559,0.2873960809559721,0.9643432432432432,0.0,0.0,0.0,0.9600048903131748,0.0620046064464024,0.9797983926875848,-0.1905605118811604,-0.0746250561738603,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.25,-0.4758758563188245,0.5098688569027066,0.9409027027027028,0.0,0.0,0.0,0.9375030764035563,0.0612736262788698,0.9682474251985164,0.0326195602505987,-0.0758629396400476,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.3,-0.2945823220126029,0.6911623912089282,0.9278648648648647,0.0,0.0,0.0,0.9100859913465646,0.0603710107986287,0.9539842720645684,0.2144877708044525,-0.077030721060173,0.063283025272499,0.1,1.0,1.0,1.0
