radius,dataset_count,phi_energy_mean,phi_energy_sd,mean_refs_per_dataset,min_refs_per_dataset,max_refs_per_dataset,unit_count,phi_energy_sem,phi_energy_ci95_low,phi_energy_ci95_high
0.79,33,-0.004047601067886826,0.0005026541667468774,29.606060606060606,18,30,977,8.75008591036609e-05,-0.004219102751730002,-0.0038760993840436507
0.8,33,-0.004096692489933002,0.000512909439448365,29.151515151515152,4,30,962,8.928607293672232e-05,-0.004271693192888977,-0.003921691786977027
0.81,34,-0.004100171569468223,0.0005150569000854359,28.764705882352942,1,30,978,8.83315296325388e-05,-0.004273301367547999,-0.003927041771388447
0.82,33,-0.0041238620472249295,0.0005046913144573493,29.09090909090909,4,30,960,8.785548100193536e-05,-0.004296058789988723,-0.003951665304461136
0.83,33,-0.0041334166084423946,0.0005149940420624351,29.575757575757574,18,30,976,8.964895567337875e-05,-0.004309128561562217,-0.0039577046553225725
0.84,33,-0.00417186804488796,0.0005125444151920501,29.09090909090909,3,30,960,8.922253036981605e-05,-0.0043467442044128,-0.003996991885363121
0.85,33,-0.004180318677855801,0.0005190783110053753,29.606060606060606,18,30,977,9.035993563725845e-05,-0.004357424151704827,-0.004003213204006774
0.86,33,-0.00423986915398193,0.0005328314844471076,29.151515151515152,4,30,962,9.275405583194737e-05,-0.0044216671034125465,-0.004058071204551313
0.87,34,-0.004245619222246149,0.0005199233322894965,28.764705882352942,1,30,978,8.916611587022713e-05,-0.004420384809351794,-0.004070853635140505
0.88,33,-0.004260711300274222,0.0005223881915451113,29.09090909090909,4,30,960,9.093611188310907e-05,-0.004438946079565116,-0.0040824765209833275
0.89,33,-0.004271506550498426,0.0005273262354444393,29.575757575757574,18,30,976,9.179571499011042e-05,-0.004451426151879042,-0.00409158694911781
0.9,33,-0.004296800569051833,0.0005308803491515797,29.03030303030303,2,30,958,9.241440677324943e-05,-0.004477932806327402,-0.004115668331776265
0.91,33,-0.00431289352322823,0.0005343111643600253,29.575757575757574,18,30,976,9.30116350427528e-05,-0.004495196327912026,-0.004130590718544434
0.92,33,-0.004353170072273831,0.0005295939893851257,29.151515151515152,5,30,962,9.21904802803894e-05,-0.004533863413623394,-0.004172476730924268
0.93,33,-0.004353636375183082,0.0005393338295162903,29.606060606060606,18,30,977,9.388596881980578e-05,-0.004537652874069901,-0.004169619876296262
0.94,33,-0.0043621778169102305,0.0005619244405779344,29.12121212121212,4,30,961,9.781848944002363e-05,-0.004553902056212677,-0.004170453577607784
0.95,33,-0.004401170156153322,0.0005370735280841108,29.606060606060606,19,30,977,9.349250084473867e-05,-0.00458441545780901,-0.004217924854497635
