rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,radius_path_id,ref_count,smc_completed_count,q95_split_logZ_per_P_diff,max_split_logZ_per_P_diff,q95_split_dlogZ_dr_per_P_diff,max_split_dlogZ_dr_per_P_diff,q05_ess_fraction,q05_smc_min_cess_fraction,split_logZ_per_P_diff_mean,threshold_max_split_logZ_per_P_diff,qc_claim
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.91,r_0p9100,30,30,0.009142368750582927,0.0099137760347408,0.019561292880667894,0.0205619661884082,0.5945543944683606,0.9500000000001207,0.002639145612900334,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.92,r_0p9200,30,30,0.004960431264344053,0.0058236649887269,0.018820326620254797,0.0212950739714064,0.5794164389482556,0.9500000000002705,0.00269325072379644,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.93,r_0p9300,30,30,0.00817308602117239,0.0118163192459942,0.014363666175915252,0.0231665292721462,0.6065449288581742,0.9500000000003432,0.0043899627472468,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.94,r_0p9400,30,30,0.006783826072818679,0.0114129086609487,0.019438404275054156,0.0268233569029685,0.6516406886719814,0.9500000000001071,0.00318647653879768,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.95,r_0p9500,30,30,0.006958454981227248,0.0084616145414147,0.015271544541573685,0.0159219691114606,0.6086900395119391,0.9500000000005338,0.004381833460825031,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.96,r_0p9600,30,30,0.009660705129714384,0.0116430453234635,0.01949957996473849,0.0236463688554442,0.6080740774894484,0.9500000000004809,0.00393664390576333,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.97,r_0p9700,30,30,0.007613761987447061,0.0085438182547748,0.01934805962271649,0.021591452951075,0.640030214734138,0.950000000000181,0.002804169594041897,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.98,r_0p9800,30,30,0.009020262537279155,0.0114372326829221,0.018319236101202434,0.021302721603487,0.6407765045005395,0.9500000000003124,0.003647186774353743,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.99,r_0p9900,30,30,0.011517377698625573,0.0195921230666772,0.015825416973602964,0.0174502898309798,0.6081501242340364,0.9500000000003449,0.003808616781177947,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,1.0,r_1p0000,30,30,0.008118422250894616,0.0110649618019245,0.01868230593978005,0.0253224373858504,0.5981647332794422,0.9500000000001507,0.003669527259422781,0.004,inspect
rule_002,real_even_odd,even odd,2,0.4932864276461805,0.01,r_0p0100,30,30,8.325009787109589e-07,1.1083515849530029e-06,9.295484297746999e-05,0.0001330867326119,0.9981778613905933,0.9981269382349293,3.020489588216683e-07,0.004,pass
rule_002,real_even_odd,even odd,2,0.4932864276461805,0.02,r_0p0200,30,30,2.2754844706548016e-06,2.827579768859541e-06,0.00021144402576491996,0.0002220997170883,0.9916059186765768,0.991430462562909,9.60657435239575e-07,0.004,pass
rule_002,real_even_odd,even odd,2,0.4932864276461805,0.03,r_0p0300,30,30,4.026264825042157e-06,1.1644518621785712e-05,0.00039428898950758494,0.0008723235247175,0.9709394101878863,0.970068084465025,1.5363721475309983e-06,0.004,pass
rule_002,real_even_odd,even odd,2,0.4932864276461805,0.04,r_0p0400,30,30,1.2903598140853423e-05,1.7339485924638873e-05,0.0008481934507888593,0.0013042952543501,0.9069535733940927,0.9500000000028093,4.9374490414312015e-06,0.004,pass
rule_002,real_even_odd,even odd,2,0.4932864276461805,0.05,r_0p0500,30,30,1.8378962538809768e-05,1.9641410347868773e-05,0.00143908297227463,0.0015043074210399,0.7576217785446103,0.950000000000497,7.2130893745929716e-06,0.004,pass
