beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.06,0.69,100,1.9279321786814214,-0.002830285412321236,1.9279321786814214,-0.002830285412321236,0.0,1.9307624640937426,pass
0.06,0.7,100,1.9422885055796333,-0.002857042238330124,1.9422885055796333,-0.002857042238330124,0.0,1.9451455478179633,pass
0.06,0.71,100,1.95643950288367,-0.0028851063958011715,1.95643950288367,-0.002885106395801171,-4.336808689942018e-19,1.9593246092794712,pass
0.06,0.72,100,1.9703918404435088,-0.0029135152342878996,1.9703918404435088,-0.0029135152342878996,0.0,1.9733053556777966,pass
0.06,0.73,100,1.9841492407006365,-0.00294401733655612,1.9841492407006365,-0.0029440173365561195,-4.336808689942018e-19,1.9870932580371925,pass
0.06,0.74,100,1.9977197208914945,-0.002973843169234292,1.9977197208914945,-0.002973843169234292,0.0,2.000693564060729,pass
0.06,0.75,100,2.0111108383762306,-0.0030004717453888325,2.0111108383762306,-0.003000471745388832,-4.336808689942018e-19,2.0141113101216193,pass
0.06,0.76,100,2.0243175547997363,-0.0030337776606067205,2.0243175547997363,-0.0030337776606067205,0.0,2.027351332460343,pass
0.06,0.77,100,2.03735978392579,-0.0030584937240801507,2.03735978392579,-0.0030584937240801507,0.0,2.04041827764987,pass
0.06,0.78,100,2.0502331257497226,-0.003083486635923883,2.0502331257497226,-0.003083486635923883,0.0,2.0533166123856463,pass
0.06,0.79,100,2.06293655853576,-0.0031140741162048323,2.06293655853576,-0.0031140741162048323,0.0,2.0660506326519648,pass
0.06,0.8,100,2.0754816633439233,-0.003142808967865113,2.0754816633439233,-0.003142808967865113,0.0,2.0786244723117884,pass
0.06,0.81,100,2.0878736659490116,-0.003168445213987701,2.0878736659490116,-0.0031684452139877023,1.3010426069826053e-18,2.091042111162999,pass
0.06,0.82,100,2.100116882622119,-0.003190499878237926,2.100116882622119,-0.003190499878237926,0.0,2.1033073825003568,pass
0.06,0.83,100,2.11220262520866,-0.0032213550104725425,2.11220262520866,-0.0032213550104725425,0.0,2.1154239802191324,pass
0.06,0.84,100,2.1241500433751823,-0.003245422118152438,2.1241500433751823,-0.003245422118152438,0.0,2.127395465493335,pass
0.06,0.85,100,2.13595305143635,-0.0032722216223979137,2.13595305143635,-0.0032722216223979137,0.0,2.1392252730587478,pass
0.06,0.86,100,2.147619622955631,-0.0032970941728839927,2.147619622955631,-0.0032970941728839923,-4.336808689942018e-19,2.150916717128515,pass
0.06,0.87,100,2.1591542893740643,-0.0033187075926971736,2.1591542893740643,-0.003318707592697174,4.336808689942018e-19,2.1624729969667613,pass
0.06,0.88,100,2.1705480285854746,-0.0033491735582209217,2.1705480285854746,-0.0033491735582209217,0.0,2.1738972021436953,pass
0.06,0.89,100,2.1818239733228695,-0.0033683441709269862,2.1818239733228695,-0.0033683441709269862,0.0,2.1851923174937964,pass
0.06,0.9,100,2.192960368784055,-0.0034008590129359245,2.192960368784055,-0.0034008590129359245,0.0,2.196361227796991,pass
0.06,0.91,100,2.2039898061803584,-0.003416916020825932,2.2039898061803584,-0.003416916020825932,0.0,2.2074067222011844,pass
0.06,0.92,100,2.214890939435757,-0.003440558967349176,2.214890939435757,-0.003440558967349176,0.0,2.2183314984031064,pass
0.06,0.93,100,2.225667925829766,-0.003470240773389866,2.225667925829766,-0.0034702407733898663,4.336808689942018e-19,2.2291381666031556,pass
0.06,0.94,100,2.2363396082730422,-0.0034896449756949854,2.2363396082730422,-0.0034896449756949854,0.0,2.2398292532487374,pass
