rule_id,rule,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.00021831180429,0.000218312
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0022092571225648,0.00220926
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0010519099250122,-0.00105191
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0001131678913531,0.000113168
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0002823989687785,0.000282399
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0006655823075716,-0.000665582
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0014892218163428,-0.00148922
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0009274357426308,-0.000927436
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.001333999209072,0.001334
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0024350707911768,0.00243507
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0017793453190643,0.00177935
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0027157026103323,0.0027157
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0007051048856448,0.000705105
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0021007079813406,0.00210071
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0009568144176818,0.000956814
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0017903439394548,-0.00179034
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0031596897662432,-0.00315969
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0004486999462678,0.0004487
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0037584698410515,-0.00375847
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0008131300809201,-0.00081313
rule_001,very_low_tv_spectral_teacher,2461,0.45,4.0185446239730974e-05,-4.01854e-05
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0029316040969431,-0.0029316
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0015668065942664,-0.00156681
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0031400003306122,-0.00314
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0018444403265702,0.00184444
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0014647066371219,-0.00146471
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0039246840907107,-0.00392468
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0017301089754466,-0.00173011
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.000461219605204,0.00046122
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0015544667093173,0.00155447
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0036005656644788,0.00360057
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0027755887096897,-0.00277559
rule_001,very_low_tv_spectral_teacher,2461,0.45,0.0021963013455109,0.0021963
rule_001,very_low_tv_spectral_teacher,2461,0.45,7.079149234382505e-05,7.07915e-05
rule_001,very_low_tv_spectral_teacher,2461,0.5,9.697446516708065e-05,-9.69745e-05
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0033620063293119,0.00336201
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0022843936994097,-0.00228439
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.001474909490223,0.00147491
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0002732867099986,-0.000273287
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0008524260988333,0.000852426
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0024026724592614,0.00240267
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0041020176124653,-0.00410202
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.00112247321663,-0.00112247
rule_001,very_low_tv_spectral_teacher,2461,0.5,8.84491199490003e-05,-8.84491e-05
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0030458984385871,-0.0030459
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0029860748734093,-0.00298607
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0031536018294689,-0.0031536
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0014459283445595,0.00144593
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0027302832108779,-0.00273028
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0014054325882854,0.00140543
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0006691253282437,0.000669125
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0031916363618102,-0.00319164
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0002450651444332,0.000245065
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0010639465903353,0.00106395
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0015515521734474,-0.00155155
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0030650243741643,0.00306502
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0032921744351615,-0.00329217
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0006487311359151,-0.000648731
rule_001,very_low_tv_spectral_teacher,2461,0.5,8.318526023418312e-05,-8.31853e-05
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0007818395612046,-0.00078184
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0007758685509682,-0.000775869
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0002626892951834,0.000262689
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0007030773854548,0.000703077
rule_001,very_low_tv_spectral_teacher,2461,0.5,0.0049393538742589,-0.00493935
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0012367557569159,0.00123676
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0023197684248942,0.00231977
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0014336765342942,0.00143368
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0008100944247071,0.000810094
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0035915691824023,-0.00359157
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0004859300492829,0.00048593
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0006261783420445,0.000626178
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0042241948195544,0.00422419
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0001249208262086,-0.000124921
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0037809780637395,0.00378098
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0058602067293065,-0.00586021
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0048695319402173,0.00486953
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0017624788514936,0.00176248
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.0033625008260057,0.0033625
rule_001,very_low_tv_spectral_teacher,2461,0.55,0.001638912171065,-0.00163891
