N,M,dataset_id,ref_id,lambda_ref,reference_method,burn,thin,ref_norm,ref_norm_sq,min_margin,mean_margin,ce_ref,err_ref
80,8,4,5,1.0,weight_space_hit_and_run,5000,200,8.605298409400318,74.05116071482765,0.045183232424717355,0.6100512162065119,3.628465725760103,0.0
80,8,4,6,1.0,weight_space_hit_and_run,5000,200,8.363456876555349,69.94741092600094,0.02196814912544109,0.5646677269396764,3.758394023828357,0.0
80,8,4,7,1.0,weight_space_hit_and_run,5000,200,10.067788119451444,101.36035761816767,0.5413864472399836,1.534977107990101,1.782935079787285,0.0
80,8,4,8,1.0,weight_space_hit_and_run,5000,200,8.678454643616675,75.31557500131181,0.06069433928810725,1.0155200196204497,2.913332952760017,0.0
80,8,4,9,1.0,weight_space_hit_and_run,5000,200,9.440627145426605,89.12544089896568,0.3902406846620801,0.8977070567529446,2.9024250351926004,0.0
80,8,5,0,1.0,weight_space_hit_and_run,5000,200,9.412664936062194,88.5982611985747,0.16327360137008715,0.7906580039883585,3.1267204614729303,0.0
80,8,5,1,1.0,weight_space_hit_and_run,5000,200,8.3935405697537,70.45152329610127,0.15679764803099083,0.7041191821705087,3.373531664220118,0.0
80,8,5,2,1.0,weight_space_hit_and_run,5000,200,9.226459638126808,85.12755745398307,0.1303417273805085,1.0035308061244739,3.0340107128835294,0.0
80,8,5,3,1.0,weight_space_hit_and_run,5000,200,9.116483872931859,83.11027820542665,0.06026718792791757,0.9676915390218833,2.9080581298308745,0.0
80,8,5,4,1.0,weight_space_hit_and_run,5000,200,8.319964781256665,69.22181396135127,0.2811521480559853,0.7033611504539132,3.3700386635636357,0.0
80,8,5,5,1.0,weight_space_hit_and_run,5000,200,9.26686263314392,85.87474306155906,0.024780776733254777,0.546442653641565,3.784243922514948,0.0
80,8,5,6,1.0,weight_space_hit_and_run,5000,200,9.066989504820382,82.21029868052295,0.07644297393041243,0.6163163295347298,3.5843241227611786,0.0
80,8,5,7,1.0,weight_space_hit_and_run,5000,200,9.51042536917102,90.44819070257175,0.000724980270544876,0.6516637351406809,3.506935920053486,0.0
80,8,5,8,1.0,weight_space_hit_and_run,5000,200,7.570640308850894,57.31459468599796,0.05265883736147755,0.5217494618340602,3.814522902787698,0.0
80,8,5,9,1.0,weight_space_hit_and_run,5000,200,9.249465556406495,85.55261307915012,0.0015375476947689216,1.0821968431154598,2.6072576249680033,0.0
80,8,6,0,1.0,weight_space_hit_and_run,5000,200,8.099940301981112,65.60903289565786,0.14980155651380228,0.8040720288335175,3.1140757570425976,0.0
80,8,6,1,1.0,weight_space_hit_and_run,5000,200,8.135564366425974,66.18740756026007,0.08970637652876073,0.704639209105857,3.49248793924993,0.0
80,8,6,2,1.0,weight_space_hit_and_run,5000,200,10.049709533368793,100.9966617050836,0.12302839014307211,1.1009602134692056,2.728655283053534,0.0
80,8,6,3,1.0,weight_space_hit_and_run,5000,200,8.496434247378872,72.18939492003257,0.07461784713516989,0.610682190244147,3.5657001710081904,0.0
