beta,radius,claim,finite_derivative_ref_count,finite_derivative_ref_min,coverage_pass,split_derivative_pass,max_split_dlogZ_dr_per_P_diff,max_split_dlogZ_dr_per_P_diff_allowed,bootstrap_pass,bootstrap_sd_dphi_full_dr,bootstrap_sd_dphi_full_dr_max,ce_replay_pass,ce_replay_max_abs_diff,ce_replay_max_abs_diff_allowed,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_energy_dr,dphi_entropic_dr,dphi_full_dr
0.18,1.8,pass,100,100,True,True,0.00020615658927929548,0.004,True,8.12766015263905e-06,0.012,True,0.0,0.001,-3.460218579197097,0.20704860902138267,-0.0013596143729654607,0.5553372626064178,0.5539776482334523
0.18,1.9,pass,100,100,True,True,0.0003267439294970625,0.004,True,8.021507272027091e-06,0.012,True,0.0,0.001,-3.499303506373696,0.201989355972129,-0.0013749719082018453,0.5261089856271327,0.5247340137189309
0.18,2.0,pass,100,100,True,True,0.00026723631581409917,0.004,True,7.884177549615104e-06,0.012,True,0.0,0.001,-3.544225923631928,0.1958973676669853,-0.0013926231527040974,0.499803536345776,0.4984109131930719
0.18,2.1,pass,100,100,True,True,0.000253196059738298,0.004,True,6.6867792545378596e-06,0.012,True,0.0,0.001,-3.600294704035351,0.177937956844671,-0.0014146541076759727,0.4760033679483581,0.47458871384068213
0.18,2.2,pass,100,100,True,True,0.000356491247816744,0.004,True,6.281706091364544e-06,0.012,True,0.0,0.001,-3.622768328669472,0.16778720902182703,-0.0014234846085145272,0.45436685122343273,0.4529433666149182
0.18,2.3,pass,100,100,True,True,0.0002669814871384238,0.004,True,7.01865122471326e-06,0.012,True,0.0,0.001,-3.683363587690947,0.17752661175752632,-0.001447294140546541,0.4346117707354574,0.43316447659491086
0.18,2.4,pass,100,100,True,True,0.0003446596851099395,0.004,True,6.738948069050797e-06,0.012,True,0.0,0.001,-3.751376709637176,0.18029213518375198,-0.0014740183534920142,0.4165029469548134,0.41502892860132135
0.18,2.5,pass,100,100,True,True,0.00033185528037950947,0.004,True,7.545429785064069e-06,0.012,True,0.0,0.001,-3.838690930307742,0.18758663473301443,-0.001508326495209329,0.39984282907662083,0.3983345025814115
0.18,2.6,pass,100,100,True,True,0.00022315171720845367,0.004,True,6.853302699505428e-06,0.012,True,0.0,0.001,-3.9033413408442073,0.17123246457594038,-0.0015337294070114763,0.38446425872752005,0.3829305293205086
0.18,2.7,pass,100,100,True,True,0.0002833619535225787,0.004,True,6.561917150722169e-06,0.012,True,0.0,0.001,-3.9804316208174813,0.16511134613551387,-0.0015640202832288728,0.3702248417376119,0.368660821454383
0.18,2.8,pass,100,100,True,True,0.0002838780243958698,0.004,True,7.12213498028456e-06,0.012,True,0.0,0.001,-4.069607518392521,0.1761366684433077,-0.0015990599286414622,0.3570025259612686,0.3554034660326271
0.18,2.9,pass,100,100,True,True,0.000265907064733653,0.004,True,7.263788859534239e-06,0.012,True,0.0,0.001,-4.141573146086263,0.17938386815974916,-0.0016273371890319305,0.3446920940315697,0.3430647568425378
