q,beta,radius,H_q,H_q_numeric,mean_R_H_at_H_q,ref_count,claim
0.9,0.14,2.4,4.0,4.0,0.9580078125000003,0,
0.99,0.14,2.4,6.0,6.0,1.0,0,
0.5,0.14,2.5,4.0,4.0,0.658203125,0,
0.9,0.14,2.5,4.0,4.0,0.9580078125000003,0,
0.99,0.14,2.5,6.0,6.0,1.0,0,
0.5,0.14,2.6,4.0,4.0,0.7099609374999999,0,
0.9,0.14,2.6,4.0,4.0,0.9560546874999999,0,
0.99,0.14,2.6,6.0,6.0,1.0,0,
0.5,0.14,2.7,4.0,4.0,0.6611328125,0,
0.9,0.14,2.7,4.0,4.0,0.9472656250000002,0,
0.99,0.14,2.7,6.0,6.0,1.0,0,
0.5,0.14,2.8,4.0,4.0,0.6780897867000139,0,
0.9,0.14,2.8,4.0,4.0,0.9296874999999997,0,
0.99,0.14,2.8,6.0,6.0,1.0,0,
0.5,0.14,2.9,4.0,4.0,0.6259765624999999,0,
0.9,0.14,2.9,4.0,4.0,0.9208984375000001,0,
0.99,0.14,2.9,6.0,6.0,1.0,0,
0.5,0.14,3.0,4.0,4.0,0.6534553941772094,0,
0.9,0.14,3.0,4.0,4.0,0.9404296875000002,0,
0.99,0.14,3.0,6.0,6.0,1.0,0,
0.5,0.18,0.1,1.0,1.0,0.9985305908090829,0,
0.9,0.18,0.1,1.0,1.0,0.9985305908090829,0,
0.99,0.18,0.1,1.0,1.0,0.9985305908090829,0,
0.5,0.18,0.2,1.0,1.0,0.6776712619492923,0,
0.9,0.18,0.2,1.0,1.0,0.9340165327913268,0,
0.99,0.18,0.2,2.0,2.0,1.0,0,
0.5,0.18,0.3,2.0,2.0,0.9979110606322943,0,
0.9,0.18,0.3,2.0,2.0,0.9979110606322943,0,
0.99,0.18,0.3,2.0,2.0,0.9979110606322943,0,
0.5,0.18,0.4,2.0,2.0,0.9624317581003369,0,
0.9,0.18,0.4,2.0,2.0,0.9624317581003369,0,
0.99,0.18,0.4,2.0,2.0,0.9908194957667641,0,
0.5,0.18,0.5,2.0,2.0,0.8251511944153034,0,
0.9,0.18,0.5,2.0,2.0,0.927853184644697,0,
0.99,0.18,0.5,4.0,4.0,1.0,0,
0.5,0.18,0.6,2.0,2.0,0.6014059964401559,0,
0.9,0.18,0.6,2.0,2.0,0.906217754245846,0,
0.99,0.18,0.6,4.0,4.0,1.0,0,
0.5,0.18,0.7,2.0,2.0,0.6671668229654352,0,
0.9,0.18,0.7,4.0,4.0,1.0,0,
0.99,0.18,0.7,4.0,4.0,1.0,0,
0.5,0.18,0.8,2.0,2.0,0.5517578125000002,0,
0.9,0.18,0.8,4.0,4.0,1.0,0,
